cid,text,claim,stance,cluster_id,cluster_prob
1065718822101433,"Abdullah Hammoud is running for re-election! As Mayor, he knows how to get things done and will continue to deliver for all Dearborn families.,Abdullah Hammoud is running for re-election! As Mayor, he knows how to get things done and will continue to deliver for all Dearborn families.,Abdullah Hammoud is running for re-election! As Mayor, he knows how to get things done and will continue to deliver for all Dearborn families.,Abdullah Hammoud is running for re-election! As Mayor, he knows how to get things done and will continue to deliver for all Dearborn families.",Claim,Neutral,Neutral_5,0.27160853147506714
1806222316694055,"Smog gets worse in hot weather and can harm our lungs and the planet. By swapping car trips for an e-bike ride, you help cut ozone pollution and keep our air cleaner. 🚲💨 https://bit.ly/4lSTTLA",Claim,Pro-Climate,Pro-Climate_36,1.0
1545446716869828,"Meet John and Erma Evans, residents of a small rural town in Maine who have embraced clean energy solutions in their home. Over 20 years they developed a vision for building their dream home powered by the sun and innovative clean energy technologies. The Evanses have embraced electric cars because they are practical, cheaper to fuel and maintain, and help reduce pollution. They live at the top of a very steep dirt road and have found that their electric car and truck can get the job done, lugging, tugging, or just getting around town. A rooftop solar system powers their electric vehicles, which are then able to provide them with backup power if it's ever needed while still being able to travel everywhere they need to get, including across the country. Your EV is more than just a car. It's actually a battery on wheels with the power to support the whole energy system! ⚡EV batteries can store a huge amount of energy, even enough to power your home for days. 🌙 Charging overnight when demand is low helps to flatten peak electricity demand and reduce stress on the electric grid. That means that there are fewer costly upgrades and lowers rates for everyone, making our systems cleaner an …",Claim,Pro-Climate,Pro-Climate_19,1.0
3702277376745929,"What if the protections that keep your air clean from dangerous pollution and your children safe from chemical exposure were taken away? Under the Trump administration, the Environmental Protection Agency doesn’t seem to care about your health or safety anymore. Here’s what you need to know:",Claim,Pro-Climate,Pro-Climate_36,1.0
1325464789085636,The Environmental Protection Agency is supposed to protect our health and well-being. But the Trump administration is trying to weaken or erase dozens of safeguards that do exactly that. Here are 4 EPA protections to watch:,Claim,Pro-Climate,Pro-Climate_36,1.0
1095993795976999,"Even after a lifetime on the farm, new opportunities can make a big difference. Richard reflected on how a solar project transformed his retired farmland into a steady, environmentally friendly income stream while keeping the land ready for future use. See his thoughts below. “I signed on with this solar project 2 years ago. We have 100 acres put into the project. It's a lot more than I can make farming. I am getting several times more per year for my land. I’m a retired farmer - we have/had hogs, dairy, beef, and cash crops. Before we signed on, we had our lawyer look at it, and we negotiated the contract so that it would be put back into agricultural land when the project is decommissioned. There’s no noise, no pollution, and they always have people monitoring and keeping the area clean. They’re also going to put a pollinator prairie underneath the panels as well. The panels are placed higher up so that there’s an opening for small animals to come to and from. There are some people who don’t like them, but you need to compare what you can get out of it to the reason why you dislike it. Solar is much better for the environment because it’s much easier on the land - now it’s perman …",Claim,Pro-Climate,Pro-Climate_143,1.0
1504096491022379,"Nuclear energy doesn’t just power our homes—it’s energizing safer, cleaner and stronger communities for friends and families like yours. Whether you're exploring a nuclear engineering degree, a hands-on trade program or leveling up your career, you can find an opportunity in a growing industry that makes a real difference.",Claim,Pro-Climate,Pro-Climate_96,1.0
1972478163552293,We all need to work together to enjoy clear summer skies this summer. 🌤️ Cleaner air starts with everyday actions. Skip the car when you can and your lungs and the planet will thank you.,Claim,Pro-Climate,Pro-Climate_36,0.9121495485305786
647410468410212,"✨ In Costa Rica’s Playa Ostional, one of nature’s greatest spectacles unfolds: the arribada. For a few magical days, tens of thousands of Olive Ridley sea turtles emerge from the ocean together to nest. 🐢 🌍 This rare phenomenon only happens in a handful of places on Earth — Costa Rica, Mexico & India — and Ostional is one of the largest, most important nesting sites. Each turtle lays nearly 100 eggs, continuing a cycle of life that’s been happening for generations. 💚 Protecting this magic matters. Rising pollution, plastics, and climate change threaten these turtles — but change begins right where we are. Start small: pick up trash, recycle, reduce single-use plastics. Every act of care ripples outward. 🌊 And for us, it’s even more special — because this is home. The place where we built Mindful Waves, and where we’re reminded daily that people and nature can still live in harmony. ✨ 📸 Gracias a nuestro amigo @heiner_castillo___m fotografo local por compartir los videos!",Claim,Pro-Climate,Pro-Climate_62,0.6723932027816772
2167750057080661,"The Trump administration is trying to undercut the EPA’s own ability to set climate pollution standards by repealing the Endangerment Finding. This dangerous attack would result in more harmful air pollution, driving deadly and costly extreme weather and health impacts, as well as raising insurance and energy costs. But to make this climate nightmare a reality, they’ll need to go through you first. Defend the Endangerment Finding by submitting a public comment today!",Claim,Pro-Climate,Pro-Climate_36,1.0
