cluster_id,topk_rank,cid,cluster_prob,text
Pro-Climate_100,1,1680077496192138,1.0,Fossil fuels fuel the crisis. Tell Biden to halt these harmful projects—sign the petition today! 🌍✍️
Pro-Climate_100,2,490091797243547,1.0,Sign our petition demanding Chase Bank stop funding fossil fuel projects!
Pro-Climate_100,3,845036890934636,1.0,Will you sign our petition & tell Shell to stop fossil fuel expansion?
Pro-Climate_100,4,751079750367251,1.0,"Do you agree? ⬇️⁠ ⁠ The head of the United Nations has proposed a ban on advertising by the world's fossil fuel industries to combat climate change and protect the environment. ⁠ ⁠ ""UN Secretary General António Guterres called coal, oil, and gas corporations the 'godfathers of climate chaos' who had distorted the truth and deceived the public for decades. Just as tobacco advertising was banned because of the threat to health, the same should now apply to fossil fuels, he said."" ⁠ ⁠ Source: BBC⁠ ⁠ Time's up for Big Oil!"
Pro-Climate_100,5,bafyreia3tc6fhmt3qpxcciqjub7gwr4jilo6j3ufcybt422rivzjv6dqri,1.0,🚨URGENT: Can you take 2 mins now to ask your MP to support a ban on fossil fuel advertising and sponsorship at this coming Monday's debate?! We've banned tobacco ads and sponsorship for causing public harm. It's time for fossil fuel ads and sponsorship to go the same way. bit.ly/ban-fossil-a...
Pro-Climate_102,1,1456529635359394,1.0,"Heat pumps cool our homes better and hold a steady temperature to keep your home cool all summer. Because they run on electricity, heat pumps cool AND heat your home way more efficiently.​ Experts estimate that heat pumps can cut climate pollution from buildings by 40% or more."
Pro-Climate_102,2,894737012805719,1.0,"Thinking About How to Save on Energy Bills? 💡🏢 CCY Architects just installed an all-electric rooftop heat pump on their commercial office building in Basalt—and it’s proving that sustainable heating and cooling work, even in cold mountain temperatures. ❄️🔥 Switching from gas to an all-electric system means: ✅ Lower energy costs over time ✅ Heating & cooling in one efficient unit ✅ Enhanced indoor air quality & improved comfort ✅ A step toward 100% renewable energy From rebates to expert guidance, CORE can help make energy upgrades easier and more affordable. Contact the Energy Concierge Team today to get started."
Pro-Climate_102,3,1350480793064870,1.0,"Cold-climate heat pumps are the cleaner, greener way to heat and cool your home. Don’t just take our word for it: stop in to Springville Center for the Arts and experience the benefits of clean heating and cooling for yourself! #ExperienceCleanHeat,Cold-climate heat pumps are the cleaner, greener way to heat and cool your home. Don’t just take our word for it: stop in to Springville Center for the Arts and experience the benefits of clean heating and cooling for yourself! #ExperienceCleanHeat"
Pro-Climate_102,4,852037167003743,1.0,The ease and convenience of a heat pump means less time spent chopping wood or managing fuel deliveries and more time spent watching your team score the game-winning touchdown.
Pro-Climate_102,5,2151453188572848,1.0,"Cold-climate heat pumps don’t require the use of fossil fuels like oil or propane, so you’ll reduce your energy costs and eliminate the hassle of fuel deliveries. That’s why when we say that the cold-climate heat pump system is easier, cleaner, and more convenient, we mean it."
Pro-Climate_109,1,8772758472838199,1.0,"The Inflation Reduction Act (IRA)—the largest investment in combating climate change ever passed by Congress—is already bringing jobs, clean air, and savings to communities across the county. ❤️ #momsactnow #climatechange #ira"
Pro-Climate_109,2,1760662994698330,1.0,Take 2 minutes today to pick up the phone and tell your lawmakers to... Say NO to any cuts to EPA or other climate agency budgets. Say NO to cuts to the Inflation Reduction Act programs. #actnow #momsactnow #climatechange
Pro-Climate_109,3,1681029952737679,1.0,"Benefiting Republican and Democratic districts alike 🤝 The largest climate and clean energy law in U.S. history, the Inflation Reduction Act, is reducing harmful pollution, ushering in thousands of good-paying clean energy jobs, and bringing in billions of dollars in clean energy investments to the Southeast. That includes 181,996 new jobs and $282.05 billion in new investments across 321 clean energy projects in 146 Republican-held districts. Now, this landmark climate plan is being threatened by big polluters and their allies in Congress. Join us in calling on our leaders in Congress to stand up to attacks on federal climate funding by signing this petition (it just takes a minute!): bit.ly/cacirapetition #ClimateWinsHere #InflationReductionAct"
Pro-Climate_109,4,1638169156759642,1.0,"The Inflation Reduction Act is transforming communities like Dalton across the Southeast 🙌 The largest climate and clean energy law in U.S. history is reducing harmful pollution, ushering in thousands of good-paying clean energy jobs, and bringing in billions of dollars in clean energy investments to the region. #ClimateWinsHere #InflationReductionAct"
Pro-Climate_109,5,374496002154354,1.0,"4 benefits of the Inflation Reduction Act ⬇️⁠ ⁠ 1. Creates Green Jobs 👷⁠ 2. Rebates to switch to cleaner, cost-saving home appliances 💚⁠ 3. Reduces greenhouse gas emissions ✨⁠ 4. Significant Health Boosts 🏃 ⁠ ⁠ The future is renewable!"
Pro-Climate_11,1,1115582753845325,1.0,"The climate crisis is putting kids at risk — from heatwaves to air pollution. This episode explores how environmental and reproductive justice intersect, and what we can do to protect future generations. Watch now to learn more! #ClimateJustice #ReproductiveJustice"
