cluster_id,topk_rank,cid,cluster_prob,text
Neutral_14,1,1100087105292784,1.0,"See which companies near you could ask for a free pass to pollute,See which companies near you could ask for a free pass to pollute"
Neutral_14,2,1068919935152616,1.0,"Every year, families in our community suffer from toxic air. It doesn’t have to be this way. Support clean heat and healthy air for all.,Every year, families in our community suffer from toxic air. It doesn’t have to be this way. Support clean heat and healthy air for all."
Neutral_14,3,1060258112650131,1.0,"Southern California suffers from some of the worst air quality in the nation, contributing to asthma, heart disease, and other negative health impacts for vulnerable communities and loved ones, including children and the elderly."
Neutral_14,4,655069457437125,1.0,"""We're in the middle of Cancer Alley...what I'm here to tell you is how much my community suffers because of the front line of the fence line location along these different types of polluting facilities, especially the petrochemical companies."" - Jo Banner #MomsPlasticsSummit #mcaf"
Neutral_14,5,1321800899103785,1.0,Gas-fired facilities release pollutants that impact your health and environment. Discover how your area is impacted and learn what actions you can take.
Neutral_19,1,7652113724891980,1.0,Eco-friendly jets are coming—let’s embrace a sustainable future! ✈️ No rush needed. #AspenFlyRight #SafeSkies #PreserveAspen #CommunityFirst #FAA #Aviation #Aircraft
Neutral_19,2,411301014903145,1.0,Any update to the aviation tax credit must consider impacts to vulnerable communities and ecosystems globally. Tax credits should be reserved for aviation fuels that are truly sustainable.
Neutral_19,3,1595830718380500,1.0,A new terminal from @[100057664995064:2048:Avfuel] marks the first SAF supply point in the Central U.S. The fuel cuts GHG emissions by 80%.
Neutral_19,4,1287800599541463,1.0,"The decarbonization of aviation already has a clear destination: Brazil. With an abundance of land and raw materials, national technology, and innovative solutions, we have everything we need to lead the production of sustainable aviation fuels. At Acelen Renewables, macauba is the starting point for clean, efficient bioenergy that is ready to fly. ✈️🌱⛽ #SAF #Macauba #Bioenergy #EnergyTransition #SustainableAviation #DropInFuel #AcelenRenewables #EnergyThatTransforms 🇧🇷 A descarbonização da aviação já tem destino certo: o Brasil. Com abundância de terras e matérias-primas, tecnologia nacional e soluções inovadoras, temos tudo para liderar a produção de combustíveis sustentáveis de aviação. ✈️🌱⛽ Na Acelen Renováveis, a macaúba é o ponto de partida para uma bioenergia limpa, eficiente e pronta para voar. #SAF #Macaúba #Bioenergia #TransiçãoEnergética #AviaçãoSustentável #DropInFuel #AcelenRenováveis #EnergiaQueTransforma"
Neutral_19,5,578878058605250,1.0,NBAA welcomes the Massachusetts Port Authority’s (Massport’s) recently announced roadmap for increasing the use of sustainable aviation fuel (SAF) in the Commonwealth and across New England. https://climbingfast.com/news/climbing-fast-nbaa-applauds-massports-commitment-to-sustainable-aviation/
