row_index,claim,cluster_id,membership_prob
0,"At Donald Trump and Robert F. Kennedy Jr.’s press conference on autism, they made this view clear.",-1,0.0
1,"Trump is dismantling science-based solutions needed to protect public health and fight climate change; he has exited the Paris Agreement, rolled back clean energy efforts, fired federal scientists, and waged an assault on environmental justice work.",33,1.0
2,"Acetaminophen has been the go-to pain reliever for pregnant women since the 1960s. If it were the cause of autism, autism diagnoses should have started rising then, not in the 1990s and 2000s. When researchers control for sibling differences, autism rates are the same whether the mother used acetaminophen or not, pointing to family factors, not medication.",-1,0.0
4,He is spreading junk science and politicizing government health care agencies.,94,0.7660304691265761
7,The fight to defend science has never been more urgent.,-1,0.0
8,Parents rely on sound medical information to keep their kids safe.,104,0.7842156440158676
9,A Senator exposed $32M in greed in the video.,-1,0.0
11,More outbreaks. Higher costs. Dangerous lies. This is what happens when conspiracies guide policy.,88,1.0
14,"Measles is roaring back to life because of junk information from Robert F. Kennedy, Jr., and his allies; several people have died from this preventable virus this year; more outbreaks will follow if RFK continues to ignore decades of science and change vaccine recommendations.",-1,0.0
15,Robert Roberson’s attorneys filed two motions asking the Texas Court of Criminal Appeals to stay his execution and to hear oral argument to review the mountain of new evidence never reviewed by the court.,-1,0.0
16,HR 4450 strips the NEA of its century-old federal charter—and the $27 million war chest they use to attack and thwart homeschooling in every statehouse. Fewer union dollars = fewer assaults on parent-led education.,55,1.0
18,THIS RFK Jr shocker is so outrageous.,-1,0.0
20,"Online grocery shopping is manipulative, promoting unhealthy choices, discounting unhealthy foods, and making it harder to find healthy options. Retailers could improve the usability and healthfulness of their online shopping experience by promoting healthier products, enabling healthy search filters, and improving accessibility.",-1,0.0
21,"His allies in the House passed the largest cut to the SNAP program ever, turning their backs on the millions of families who rely on SNAP to pay part of their grocery bill (especially with prices going up!).",53,1.0
22,The Trump administration cuts $1 billion in funding for food banks and school meals.,53,1.0
24,"Research shows that these ads impact a kid’s product preferences, which in turn impacts parents’ purchasing decisions and their kids' health.",-1,0.0
25,"MoonBitez Sleep Gummies help you fall asleep faster, sleep deeper, and wake up refreshed without melatonin or grogginess. They are non-habit forming, come in a delicious strawberry flavor, and are backed by science.",11,1.0
26,"The Steel Board™ is non-toxic, contains no microplastics, has a non-porous surface, offers superior cutting, is easy to clean, and has a sleek design.",5,0.687700377394188
28,"Every major mental health organization has condemned conversion therapy as junk science that leads to higher rates of depression, anxiety, and even suicidal ideation.",107,1.0
30,"NOBS Toothpaste remineralizes and strengthens enamel with 5% nano-hydroxyapatite, whitens teeth naturally without harsh abrasives, contains no fluoride, sulfates, or artificial ingredients, is eco-friendly and plastic-free, and is perfect for travel with no spills or mess. A customer reported improved freshness, reduced sensitivity, and improved appearance after using NOBS.",11,1.0
31,"Acting EPA Administrator James Payne has ousted all members of two of the agency’s most influential science advisory panels, giving President Donald Trump’s administration the opportunity to reshape them with its own appointees.",15,0.652649622342871
32,"Sheldon Whitehouse, while not 'confirmed as voting for Kennedy' nevertheless 'appears to be actively considering it.' This goes against much of what the senator has stood for throughout his career.",-1,0.0
33,"Robert F. Kennedy, Jr.’s inaccurate health claims are widely disavowed by public health professionals. From anti-vaccine rhetoric to demonizing fluoride in water.",94,0.7255370589273165
34,"The court's mixed signals on junk science, expanded premises liability, and increased workplace liability have created a troubling legal landscape.",-1,0.0
35,"King County, Washington, makes its debut on the Judicial Hellholes® list at No. 9 due to courts that engage in controversial practices like law shopping and allowing junk science evidence, resulting in nuclear verdicts that inflate costs and stifle economic prosperity. Washington state residents pay nearly $2,290 annually in 'tort tax,' and over 163,000 jobs are lost each year due to excessive tort costs.",56,1.0
37,"After years of education and a career as a nurse and teacher, God told her it's time to go home to her family.",87,1.0
41,A shockingly low percentage of Chicago students can read or do math at grade level.,-1,0.0
45,"When you use a commercial car wash, you're helping protect our local creeks too. These car washes make sure all that dirty water and pollution goes to a wastewater treatment plant, and steer pollution away from storm drains, creeks, and the Bay.",8,1.0
48,"Earn 10 verified volunteer hours and become eligible for scholarships up to $1,500.",-1,0.0
49,"ORCA’s monitoring and mapping efforts span the lagoon, with projects underway across six different counties. From real-time water quality monitoring, ecotoxicity mapping, fish monitoring, and shoreline restoration, we are working in key areas to protect and restore the lagoon.",4,0.4606529600046285
50,"When grass clippings wash into streets, storm drains, ditches, or canals, they contribute to the muck that smothers the bottom of the lagoon and release nutrients like nitrogen and phosphorus that fuel algae growth.",8,1.0
51,"By using natural solutions such as native plantings and oyster reef structures, we can stabilize shorelines, reduce pollution, and support a healthier Indian River Lagoon.",8,0.5634077505561714
52,"As Mayor, he knows how to get things done.",105,0.8892566716446956
53,"The settlement forces the developer to take actions to prevent ongoing pollution into Martin Branch and Hurricane Creek, to fund protection of 62 acres in the Lick Creek watershed, and to pay civil penalties and attorney fees.",-1,0.0
54,"When temps rise, so does ozone pollution. Ditch the car and ride electric.",39,1.0
55,Smog gets worse in hot weather and can harm our lungs and the planet.,40,1.0
57,"10 trillion plastic pellets leak into oceans each year, silently poisoning ecosystems; plastic pellets are found in 14 countries and 29 U.S. states; nearly 50,000 pellets were collected by hand in a global count; over 18,000 pellets were gathered in just 10 minutes in Texas.",5,1.0
59,"SB 404 would destroy small, family-run recyclers in California—businesses that conserve, reuse, and reduce waste. Instead, this bill encourages reliance on mining virgin ore in developing countries, increasing global pollution and human rights risks.",-1,0.0
60,"They share strategies, engage with the community, and are committed to clean water.",8,1.0
61,"Nearly one in four pieces of plastic is never recycled or safely disposed of. Plastics are everywhere and are slow to decompose, contributing significantly to persistent waste. Hanwha is working toward this by advancing practical solutions that address the footprint of plastic, including bio-attributed PVC and recycled polyethylene.",5,1.0
62,"Minneapolis is full of people who care deeply about our neighbors, the health of our city, and the planet.",-1,0.0
63,"The report details the significant toll fossil fuel pollution and infrastructure has on women in these communities, including increased cancer rates, higher risks of adverse maternal health outcomes, and higher risks for depression. Financial institutions are investigated for their role in upholding and perpetuating negative gender and racial health and safety impacts through their support of fossil fuel companies and projects.",-1,0.0
64,"SB 404 hands multinational shredding corporations a free pass—while strangling California’s local recyclers with red tape. These small, family-run businesses are the true green economy.",19,1.0
66,"EV batteries can store a huge amount of energy, enough to power your home for days. Charging overnight when demand is low helps flatten peak electricity demand, reduce stress on the electric grid, and lower costs for everyone. Having a more balanced grid demand means more reliable energy and lower costs for everyone.",-1,0.0
