cid,text,stance
718223234007051,🛑🚨🛑🚨Protecting the Endangerment Finding = Protecting Children's Health! Moms across the country share what rolling back this foundational protection for regulating climate emissions means to them. Listen in and then tell EPA to do its job and keep cutting climate pollution!,Pro-Climate
1087755083103907,"One of the things I love about singing this song by Rabbi David Zeller is that as we sing the words “I am alive,” the tune can feel mournful and aching in its celebration of aliveness. 

So I have to wonder, what is aliveness if not to include the great sorrows and aches of the heart and body? What is aliveness if not to include the pain of the world around us? What is aliveness if not to include death and destruction? 

As the song asks “And who is this aliveness that I am?” - I have to ask, aren’t we, too, blessed and holy by the painful magnitude of it all? “Is it not the blessed holy one?” Aren’t we created in the image of the whole? Do we trust ourselves to hold the whole, to be the whole, to accept this greatness? 

My heart goes out to all of you hurting now - whether in grief for the fires, the wars, the hostages, the ceasefire, the impending leadership of America, every country and its craziness, climate change, the future, your children, our children- and all the other reasons you want to delete this instagram app asap. All of this aliveness that feels like too much. 

My heart goes out to you. I pray we can always find a way to sing through this grief, to sing a pathway through the dark. 

From my aching heart, to yours. ❤️‍🩹",Pro-Climate
586149607698863,"Support Sonola Segun’s Recycling Initiative for a Sustainable Future
https://gofund.me/8bd729e2

Hello, my name is Sonola Segun, a passionate public health graduate living with sickle cell disease. Despite facing numerous health challenges, financial struggles, and personal losses, I remain committed to making a positive impact on public health and environmental sustainability.

Why This Recycling Business Matters

Living with sickle cell disease has shown me how environmental factors—like pollution and poor waste management—can worsen chronic health conditions. A cleaner, healthier environment isn’t just a luxury; it’s essential. That’s why I’m launching a recycling business focused on:

Reducing waste

Educating communities about recycling and sustainability

Promoting better waste management practices

What I’ve Achieved So Far

I’ve already secured:

Permits & Licenses

Business Registration

Collection Containers

Sorting Equipment

Educational Flyers & Training Materials

However, I need your support to take the final steps and make this vision a reality.

What Your Support Will Fund

To launch effectively, I need help with:

1. Manual Sorting Costs: $390

2. Shredders: $3,000

3. Truck/Van for Transportation: $2,000

Total Goal: $5,390

The Impact of Your Contribution

Your donation will:

Create local jobs and boost the economy

Raise awareness about recycling and public health

Improve waste management practices

Reduce environmental damage caused by poor waste disposal

Join Me in Building a Greener Future

Every contribution, no matter how small, brings us closer to a cleaner, healthier world. Together, we can create an initiative that benefits public health, the environment, and future generations.

Thank you for your support and belief in this mission.

Sincerely,
Sonola Segun
Public Health Advocate & Sustainability Entrepreneur

@[409775382063100:69:GofundMe and Fundraising campaigns/Sharing and Receiving Donation] @[100076010047236:2048:CFI Group Arabic] @[1325131591574313:69:GoFundMe Share And Support] @[1500204146692093:69:GoFundMe Money Donations] #indiegogo #gofundme #spotfund #FreePalestine #usa #kickstarter #GazaGenocide #chuffed #Rusia #australia #mexico @[100026251867352:2048:Tae White] #allnations",Pro-Climate
360745056975060,"Time & time again we see how most of our elected officials continue to fail at protecting our health & safety, which is why we need YOUR help to create the world that we want to live in. For more information on how to get involved, click the link in our bio to our landing page to sign up to be involved in upcoming rulemakings and engagement opportunities 🪴✨

#environment #climate #legislation #policy #environment #climatecrisis #community #love #joy #resilence #pollution #solutions #action #hope #climatecrisis #denver #denvercolorado",Pro-Climate
2817214565122035,"“We’re the third fastest warming city in the nation here in Tucson, and Phoenix is fourth”",Pro-Climate
3802394379977166,"Nature connects me with my family. We deliberately chose to raise our family in this area because of all of the ways we can connect with nature. As your representative, I will fight to defend our spectacular landscapes and work with you to protect the beauty in our valley and state.",Pro-Climate
1184813135920746,"Whether you’ve been considering solar panels, harnessing the power of the wind, upgrading to energy-efficient equipment, or even delving into the realm of biofuels, there’s an exciting opportunity that may be able to help fund your project: the Rural Energy for America Program. Contact us through the link below to learn more! 
https://www.deschutesswcd.org/reap-grant-funding/

#centraloregon #deschutes #deschutescounty #RenewableEnergy #CleanEnergy",Pro-Climate
1021592706157491,"Data can’t tell the whole story, but it’s a powerful tool for understanding changes on our planet. Grab this article from our free collection of resources to teach your students essential data literacy skills.,Data can’t tell the whole story, but it’s a powerful tool for understanding changes on our planet. Grab this article from our free collection of resources to teach your students essential data literacy skills.",Pro-Climate
1484187702302772,"Vote for Lance Boehmer in the August 6th Primary! Support a candidate focused on affordable housing, mental health services, and environmental protection.

✅ Ensure responsible and transparent governance for Grand Traverse County. Learn more at the link below.",Pro-Climate
1235024824363592,"See how YOU can play a part in the next generation of clean energy and explore a career in nuclear energy.  

Learn more about University Of Michigan’s Nuclear Engineering & Radiation Sciences.",Pro-Climate
506532902376534,"Gracias al Plan de Energía Limpia, más de 334.000 nuevos empleos en energía limpia están ayudando a revitalizar comunidades en todo Estados Unidos.
Muchos de estos empleos se encuentran en comunidades de escasos recursos, lo que brinda oportunidades laborales bien remuneradas que permiten a los trabajadores desarrollar carreras duraderas, apoyar a sus familias y ayudar a que sus comunidades estén más limpias y seguras.",Pro-Climate
1499760767871767,"Clean Power Alliance offers a $750 rebate toward eligible solar battery systems that lower your bill and sustainably power your home, even during outages.,Clean Power Alliance offers a $750 rebate toward eligible solar battery systems that lower your bill and sustainably power your home, even during outages.,Clean Power Alliance offers a $750 rebate toward eligible solar battery systems that lower your bill and sustainably power your home, even during outages.,Clean Power Alliance offers a $750 rebate toward eligible solar battery systems that lower your bill and sustainably power your home, even during outages.,Clean Power Alliance offers a $750 rebate toward eligible solar battery systems that lower your bill and sustainably power your home, even during outages.,Clean Power Alliance offers a $750 rebate toward eligible solar battery systems that lower your bill and sustainably power your home, even during outages.,Clean Power Alliance offers a $750 rebate toward eligible solar battery systems that lower your bill and sustainably power your home, even during outages.,Clean Power Alliance offers a $750 rebate toward eligible solar battery systems that lower your bill and sustainably power your home, even during outages.,Clean Power Alliance offers a $750 rebate toward eligible solar battery systems that lower your bill and sustainably power your home, even during outages.",Pro-Climate
1709286292995224,President Jimmy Carter had a solar array placed on @[100069123883596:2048:The White House] to show his administration’s support for clean energy. The solar panels helped heat water for the complex but were removed by the Reagan Admin. Carter also started the @[100068384958383:2048:U.S. Department of Energy] during his tenure in office.,Pro-Climate
646008841516315,"Plastics contain thousands of toxic chemicals — like BPA, PFAS, phthalates, flame retardants, and heavy metals. Those chemicals move out of plastics and into our air, our bodies, our soil, and our food. Making plastic releases air pollution. We have a plastics crisis. And a health crisis. #BeyondPetrochemicals #plastic #microplastics #planetvsplastics #plastics #plasticpollution #mcaf",Pro-Climate
1375545883896167,Trump just fired the scientists protecting our future. Sign to save climate research and keep Americans safe.,Pro-Climate
499146559787759,"We are excited to work with more faith communities to install solar power in their facilities. This is a great opportunity to lower energy bills and make more funds available for ministry, address climate change and care for our sacred creation.",Pro-Climate
542121711976733,Are big corporations owning up to the pollution they create? 🤔,Pro-Climate
1045466150521445,Greenpeace needs your support! Click LEARN MORE ☝️ to SIGN THE OPEN LETTER NOW and join their fight against Energy Transfer's baseless legal action.,Pro-Climate
603940135426270,Will Virginia have more say over solar laws in 2025?,Pro-Climate
1775292256607996,"You're invited to the 2024 Nova Annual Conference, ""New Horizons: Toward an Era of Global Flourishing,"" on December 5, 2024. This free, virtual event will explore innovative approaches to advancing well-being for both people and the planet.

As the source of all life, energy takes center stage. This includes the cellular energy fueling personal health, the sustainable energy systems required for flourishing societies, and the transformative energy of human consciousness necessary for global change.

By exploring pressing, interconnected themes affecting physical, mental, and emotional well-being, this event aims to contribute to innovative responses and actionable strategies that foster a more equitable, healthy, and resilient society for all, with deeper connection and care for the natural environments on which we depend.

Register for free via link in bio.

#PlanetaryHealth #GlobalChange #MentalHealth #HealthAndWellBeing",Pro-Climate
824467686335720,"It’s been an exciting summer in the Fort Wayne area for our EDPR NA team! We’ve had an incredible time out and about meeting new community members and catching up with our network of amazing supporters. This July, we participated in and served as a skill hole sponsor for the @[100064349573270:2048:Greater Fort Wayne Inc.] Greater Golf Open. Earlier this month, our team hosted a lively stakeholder dinner at  @[100040276075255:2048:Club Soda], where we shared project updates and opportunities to support Allen County’s renewable energy future.",Pro-Climate
1168207718318763,"Want to do something about climate change, but don’t know where to start? Inside the Movement shows you how. Join today. Go to ITM.earth.",Pro-Climate
503479475787092,"Thanks to the Inflation Reduction Act, Georgia is leading the country in renewable energy production, helping farmers streamline agricultural practices, and lowering healthcare costs for low income residents.

Georgia now ranks second nationally on new green tech projects, with over 20 new projects and over 30,000 jobs created since the IRA’s passing. The bill has spurred $23.88 million for Georgia’s clean energy economy, with the greatest investments coming to solidly red parts of the state, like the 11th Congressional District. 

In rural communities, the Inflation Reduction Act has helped farmers to adopt sustainable, efficient methods and is providing affordable electricity through local electric cooperatives.

Learn more at https://www.newdealforum.org/federal-funds-local-results",Pro-Climate
1178144827219206,"EarthRM is heading to South by Southwest 2025! We are honored to present at the Climate & Sustainability Panel Session on March 13, 2025, in Austin, Texas with our panel, ""Age-Old Technologies for New-Age Disasters.""

Join us as we share our place based approach to  bioremediation—using plants, fungi, and Indigenous microbes—to heal lands and waters impacted by pollution in Hawai'i.

Panel Presentation Information: https://schedule.sxsw.com/2025/events/PP153135 

#PresenterSXSW #SXSW #EarthRM #Bioremediation #NativeKnowledge #IkeKanaka #Oceania #PlaceBasedScience",Pro-Climate
1061164475211174,"Dan Wolgamott has worked to protect the air we breathe, the water we drink, and the health of our communities.,Dan Wolgamott has worked to protect the air we breathe, the water we drink, and the health of our communities.",Pro-Climate
678176325296852,"Gladys from Zambia runs Plastic for Change, a plastic recycling facility, and has brought a plastic recycling project targeting marginalized groups especially women at the DRC-Zambia border. The project builds a digital platform to offer fair pay to plastic waste collectors, restoring their dignity. She expects more youth to join sustainable development decision-making with support, funding and capacity-building, aiming to reach Sustainable Development Goals together. Her project has been selected for APGYD.
#GDI #APGYD #WYDF #Youth2030 #SDGs",Pro-Climate
501756681282757,Join our Discord to learn more about how our NFT is driving REAL change for the planet 🌎 🌱,Pro-Climate
1936828190098350,"Lead the climate-resilient economy of tomorrow with GARP’s Sustainability and Climate Risk (SCR®) Certificate. 🏆🌳,Lead the climate-resilient economy of tomorrow with GARP’s Sustainability and Climate Risk (SCR®) Certificate. 🏆🌳",Pro-Climate
1197310391833538,"Dive into the first episode of #TheSurfriderPodcast 🎙️🌊

Hosted by David Lee Scales, a world-renowned surf culture podcast host and producer, our new episode sheds light on the Most Polluted Beach in America, with voices from Mayor of Imperial Beach Paloma Aguirre, Dr. Kimberly Dixon of South Bay Urgent Care, and our very own Clean Border Water Now Campaign Manager Sarah Davidson. 

Watch the full episode episode now to learn more about why this incredible stretch of coastline has been closed for over 1,200 consecutive days and counting, the health impacts on the local communities, and how you can get involved to fight for clean water at the border. 

Available on all major podcast platforms. Link in bio to start listening!",Pro-Climate
554178727096167,"🌱 Agroforestry: A Sustainable Farming Solution 🌳

Agroforestry combines trees with crops or livestock, creating a powerful way to boost farm productivity while protecting the environment. 🌿

🌳 Soil Health: Trees help reduce soil erosion, improve water retention, and maintain soil fertility. 
💧 Environmental Impact: Agroforestry reduces greenhouse gas emissions and nutrient loss, enhancing biodiversity. 
📈 Economic Benefits: In regions like Western Uttar Pradesh, farmers are seeing a benefit-cost ratio of up to 3:1 through systems that integrate trees like neem and eucalyptus.

Agroforestry is paving the way for more sustainable and profitable farming! 🌍",Pro-Climate
545679954501757,"TNC is standing up to plastic pollution. Oceans produce half of our air, but they are suffocating - 11 million tons of plastic enter the ocean every year. World leaders need to act. Right now, the United Nations is working to adopt the first-ever international, legally binding agreement to end plastic pollution. Join us as we call on world leaders to unite against plastic pollution. Take the pledge with us at nature.org/plasticpledge. 

📸: Sebnem Coskun/TNC Photo Contest 2021",Pro-Climate
3231397387156482,"⚠️𝐔𝐑𝐆𝐄𝐍𝐓: The Amazon rainforest may hit an irreversible tipping point in just a few years if deforestation continues.

There is no more time to waste.

We’re working with local governments and communities to protect the Amazon, but this work is only possible through the support of generous people like you. So please: 𝐀𝐝𝐝 𝐲𝐨𝐮𝐫 𝐧𝐚𝐦𝐞 𝐭𝐨 𝐬𝐡𝐨𝐰 𝐲𝐨𝐮𝐫 𝐬𝐮𝐩𝐩𝐨𝐫𝐭 𝐟𝐨𝐫 𝐩𝐫𝐨𝐭𝐞𝐜𝐭𝐢𝐧𝐠 𝐭𝐡𝐞 𝐀𝐦𝐚𝐳𝐨𝐧 𝐫𝐚𝐢𝐧𝐟𝐨𝐫𝐞𝐬𝐭.",Pro-Climate
2330310607332021,"🌍 What are we leaving behind for future generations?

Pollution isn’t someone else’s problem - it’s all of ours. But so is the solution 💚 

We believe that bold choices today lead to a better tomorrow. Choose better. Choose sustainability!",Pro-Climate
563965249511701,"Be bold! Be a peacemaker and talk climate!

Sign up today to receive tips and resources on how to have these conversations. There will also be a virtual workshop on practicing these skills that you will not want to miss!,Be bold! Be a peacemaker and talk climate!

Sign up today to receive tips and resources on how to have these conversations. There will also be a virtual workshop on practicing these skills that you will not want to miss!",Pro-Climate
2041884252977223,"The Fox Valley Park District has excellent facilities and staff. In this election I am supporting Edward Ash who is running for the At-Large position and Sandi Schmitt for the District 1 position (the areas west of the Fox River, including parts of Sugar Grove and North Aurora.

Edward Ash (Fox Valley Park District, At-Large), is a skilled tradesman working in the community for positive change and equality for all. Ed’s goal is to increase education, share new project ideas, and bring more awareness and community engagement to our Park Districts. Edward volunteers for several nonprofits in Aurora.

Sandi Schmitt (Fox Valley Park District - 1), is a dedicated leader with 20 years of project management and training experience in a global consulting firm. As a community advocate, she champions green space preservation, fiscal transparency, and collaboration with other districts. Sandi’s fresh ideas and budget-conscious approach will bring new energy to the Park District.

Early Voting polling places – https://bit.ly/EVPolling 

Election Day polling places –  https://bit.ly/EDPolling",Pro-Climate
1234170344484747,"What if plant-based meats could heal the planet? 🌍 Biochemist and “wacky genius” Pat Brown left academia to create the Impossible Burger, a revolutionary plant-based meat that tackles climate change and biodiversity loss. 🌱🍔

Now he’s onto his latest “wild idea”... he’s transforming cattle ranches into carbon-capturing forests that promote biodiversity and restore our earth. 🌳🌿🌎

Today marks the global release of this very special episode. 🎬 “WILD HOPE: Mission Impossible” is now on the PBS Nature Channel on YouTube. 📺

Visit WildHope.tv to watch, engage, and discover ways you can take positive action in your own backyard. 🏡

Pat Brown is an inspiring example of how one person’s curiosity and desire to protect the planet can lead to “impossibly” exciting results. ✨💚",Pro-Climate
534138759198215,"🚨 A Trusted Voice Speaks Out! 🚨
Mayor Steve Manos of Lake Elsinore proudly endorses Jason Devor for EVMWD Division 4. As a business leader and a community-driven advocate, Jason has the skills and dedication to deliver lower water rates, greater transparency, and real solutions for our future.

“Jason will bring the change our water district needs. His leadership will ensure better management, sustainable water solutions, and accountability.” – Mayor Steve Manos

📢 Vote Jason Devor for EVMWD Division 4. Because every drop counts – and so does every vote. 🌊",Pro-Climate
