cluster_id,size,sample_size,topic,summary,keywords,raw,error
0,164,40,AI and Climate Change,"Many claims express concern that AI use and infrastructure contribute significantly to climate change, pollution, and social inequality, while also questioning AI's ability to solve complex global challenges. There are calls for ethical, sustainable development and skepticism toward corporate motives and AI's environmental impact.","[""AI pollution"", ""climate change"", ""sustainability"", ""environmental impact"", ""ethical concerns"", ""corporate responsibility""]","{
  ""topic"": ""AI and Climate Change"",
  ""summary"": ""Many claims express concern that AI use and infrastructure contribute significantly to climate change, pollution, and social inequality, while also questioning AI's ability to solve complex global challenges. There are calls for ethical, sustainable development and skepticism toward corporate motives and AI's environmental impact."",
  ""keywords"": [""AI pollution"", ""climate change"", ""sustainability"", ""environmental impact"", ""ethical concerns"", ""corporate responsibility""]
}",
1,208,40,Climate Change and Wildfires,"Most claims assert that climate change is increasing the frequency, scale, and intensity of wildfires globally, affecting regions like California, Canada, and Europe. Several statements tie drought, heat, and fire seasonality directly to greenhouse gas emissions and global warming, while a minority cite misinformation or alternative causes.","[""climate change"", ""wildfires"", ""drought"", ""greenhouse gases"", ""fire intensity"", ""misinformation""]","{
  ""topic"": ""Climate Change and Wildfires"",
  ""summary"": ""Most claims assert that climate change is increasing the frequency, scale, and intensity of wildfires globally, affecting regions like California, Canada, and Europe. Several statements tie drought, heat, and fire seasonality directly to greenhouse gas emissions and global warming, while a minority cite misinformation or alternative causes."",
  ""keywords"": [""climate change"", ""wildfires"", ""drought"", ""greenhouse gases"", ""fire intensity"", ""misinformation""]
}",
2,40,40,"Environmental Policy, Greenwashing, and Energy Transition in Europe","The claims highlight concerns about greenwashing, ineffective or misleading climate solutions, environmental degradation, and policy failures related to energy transition, especially in the EU. There is skepticism toward certain renewable initiatives, criticism of fossil fuel reliance, and anxiety regarding pollution, legislative shortcomings, and threats to climate and conservation efforts.","[""greenwashing"", ""energy transition"", ""EU policy"", ""fossil fuels"", ""pollution"", ""climate regulation""]","{
  ""topic"": ""Environmental Policy, Greenwashing, and Energy Transition in Europe"",
  ""summary"": ""The claims highlight concerns about greenwashing, ineffective or misleading climate solutions, environmental degradation, and policy failures related to energy transition, especially in the EU. There is skepticism toward certain renewable initiatives, criticism of fossil fuel reliance, and anxiety regarding pollution, legislative shortcomings, and threats to climate and conservation efforts."",
  ""keywords"": [""greenwashing"", ""energy transition"", ""EU policy"", ""fossil fuels"", ""pollution"", ""climate regulation""]
}",
3,60,40,Reality of climate change,"This cluster strongly asserts the existence and ongoing impact of climate change, with some claims emphasizing its scientific proof, worsening effects, human causes, and the need for urgent response.","[""climate change"", ""real"", ""scientific consensus"", ""impacts"", ""urgency"", ""human-caused""]","{
  ""topic"": ""Reality of climate change"",
  ""summary"": ""This cluster strongly asserts the existence and ongoing impact of climate change, with some claims emphasizing its scientific proof, worsening effects, human causes, and the need for urgent response."",
  ""keywords"": [
    ""climate change"",
    ""real"",
    ""scientific consensus"",
    ""impacts"",
    ""urgency"",
    ""human-caused""
  ]
}",
4,115,40,Fracking risks and regulation,"Claims highlight widespread concerns about fracking's environmental and public health impacts, linking it to earthquakes, water contamination, and regulatory failures. Some advocate for bans or stricter regulation, while a few defend fracking's necessity or downplay its harms, reflecting deep controversy and calls for increased transparency and oversight.","[""earthquakes"", ""water contamination"", ""public health"", ""regulation"", ""ban fracking"", ""transparency""]","{
  ""topic"": ""Fracking risks and regulation"",
  ""summary"": ""Claims highlight widespread concerns about fracking's environmental and public health impacts, linking it to earthquakes, water contamination, and regulatory failures. Some advocate for bans or stricter regulation, while a few defend fracking's necessity or downplay its harms, reflecting deep controversy and calls for increased transparency and oversight."",
  ""keywords"": [
    ""earthquakes"",
    ""water contamination"",
    ""public health"",
    ""regulation"",
    ""ban fracking"",
    ""transparency""
  ]
}",
5,22,22,Oil Industry and Climate Change Denial,"Many claims assert that the oil and gas industry promotes climate change denial, prioritizes profit over environmental responsibility, and influences governments and public discourse through funding and lobbying. Some note minor investments in climate solutions, but the prevailing view is that these actions are insufficient or insincere, enabling continued environmental harm.","[""oil companies"", ""climate change denial"", ""profit motive"", ""lobbying"", ""government influence"", ""environmental harm""]","{
  ""topic"": ""Oil Industry and Climate Change Denial"",
  ""summary"": ""Many claims assert that the oil and gas industry promotes climate change denial, prioritizes profit over environmental responsibility, and influences governments and public discourse through funding and lobbying. Some note minor investments in climate solutions, but the prevailing view is that these actions are insufficient or insincere, enabling continued environmental harm."",
  ""keywords"": [""oil companies"", ""climate change denial"", ""profit motive"", ""lobbying"", ""government influence"", ""environmental harm""]
}",
6,118,40,Electric Vehicles (EVs) Market and Social Dynamics,"The cluster centers on debates surrounding EV adoption, policy impacts, market disruption, and sustainability concerns. Arguments cover government incentives, infrastructure challenges, competitive dynamics, social perceptions of brands like Tesla, as well as environmental and economic implications of broader EV integration.","[""EV adoption"", ""Tesla"", ""sustainability"", ""policy"", ""market disruption"", ""infrastructure""]","{
  ""topic"": ""Electric Vehicles (EVs) Market and Social Dynamics"",
  ""summary"": ""The cluster centers on debates surrounding EV adoption, policy impacts, market disruption, and sustainability concerns. Arguments cover government incentives, infrastructure challenges, competitive dynamics, social perceptions of brands like Tesla, as well as environmental and economic implications of broader EV integration."",
  ""keywords"": [""EV adoption"", ""Tesla"", ""sustainability"", ""policy"", ""market disruption"", ""infrastructure""]
}",
7,32,32,"Canadian Politics, Climate Change, and Energy Policy","This cluster discusses contentious political dynamics in Canada, particularly Alberta, centering on oil and gas, climate change denial, and government integrity. It also highlights global and domestic legal battles, the impacts of climate crises, infrastructure issues, and the influence of both left- and right-wing governments.","[""Alberta"", ""oil and gas"", ""climate change"", ""Canadian politics"", ""energy policy"", ""government integrity""]","{
  ""topic"": ""Canadian Politics, Climate Change, and Energy Policy"",
  ""summary"": ""This cluster discusses contentious political dynamics in Canada, particularly Alberta, centering on oil and gas, climate change denial, and government integrity. It also highlights global and domestic legal battles, the impacts of climate crises, infrastructure issues, and the influence of both left- and right-wing governments."",
  ""keywords"": [""Alberta"", ""oil and gas"", ""climate change"", ""Canadian politics"", ""energy policy"", ""government integrity""]
}",
8,43,40,Arctic Geopolitics and Climate Change,"Many claims link increasing interest in Greenland, Canada, and the broader Arctic region to climate change, arguing that melting ice is opening lucrative shipping routes, exposing valuable resources, and making northern territory more habitable. Political and business leaders, especially Trump and Putin, are depicted as seeking control over these regions for strategic, economic, and survival reasons as global warming progresses.","[""Greenland"", ""climate change"", ""resource extraction"", ""geopolitics"", ""Arctic melting"", ""strategic interests""]","{
  ""topic"": ""Arctic Geopolitics and Climate Change"",
  ""summary"": ""Many claims link increasing interest in Greenland, Canada, and the broader Arctic region to climate change, arguing that melting ice is opening lucrative shipping routes, exposing valuable resources, and making northern territory more habitable. Political and business leaders, especially Trump and Putin, are depicted as seeking control over these regions for strategic, economic, and survival reasons as global warming progresses."",
  ""keywords"": [
    ""Greenland"",
    ""climate change"",
    ""resource extraction"",
    ""geopolitics"",
    ""Arctic melting"",
    ""strategic interests""
  ]
}",
9,35,35,"Aviation, Emissions, and Sustainable Fuels","Claims center on the high emissions from aviation, skepticism and optimism about sustainable aviation fuels (SAF), regulatory and policy debates on emissions standards, and related environmental impacts. There is discussion of technological alternatives, industry initiatives, and the limits of current solutions to address aviation’s carbon footprint.","[""aviation emissions"", ""sustainable aviation fuel"", ""regulation"", ""carbon footprint"", ""technology alternatives"", ""policy challenges""]","{
  ""topic"": ""Aviation, Emissions, and Sustainable Fuels"",
  ""summary"": ""Claims center on the high emissions from aviation, skepticism and optimism about sustainable aviation fuels (SAF), regulatory and policy debates on emissions standards, and related environmental impacts. There is discussion of technological alternatives, industry initiatives, and the limits of current solutions to address aviation’s carbon footprint."",
  ""keywords"": [""aviation emissions"", ""sustainable aviation fuel"", ""regulation"", ""carbon footprint"", ""technology alternatives"", ""policy challenges""]
}",
