row_index,claim,cluster_id,membership_prob
0,"The MAGA/MAHA nexus views autistic people as mistakes, unfortunate victims of weak mothers who must be 'cured.'",-1,0.0
1,People should give now to the Science Emergency Fund to help fight Trump's attacks on science-based solutions for public health and climate change.,-1,0.0
2,Acetaminophen (Tylenol) is not a cause of autism.,127,0.6634361917292738
3,"Diversity, Equity, and Inclusion policies are undermining American institutions.",132,1.0
4,RFK Jr.'s leadership makes our children less safe.,-1,0.0
6,"RFK Jr. has ordered the FDA to consider nationwide restrictions on mifepristone, an abortion pill that is safer than Tylenol, citing junk science and fringe conspiracy theories.",113,0.8593992528756433
7,Renewing your membership will double your impact in the fight to defend science.,-1,0.0
8,Junk science and conspiracy theories make it harder for families and doctors to protect children.,129,0.8549095933843537
9,You can expose your true rate by doing something.,127,0.8029212403002002
11,RFK Jr. is making America sicker.,-1,0.0
14,It’s time to take urgent action to support commonsense vaccine policy.,-1,0.0
15,Robert Roberson's execution should be stayed and the court should review the new evidence in his case.,-1,0.0
16,Ending the NEA's federal charter and reducing their funding will reduce assaults on homeschooling.,132,1.0
17,This controversy is harming the brains of millions of Americans aged 65+.,124,1.0
18,RFK Jr could get impeached because of this shocking action.,-1,0.0
20,Grocery retailers should adopt healthier online marketing practices.,30,0.6494950260927964
21,Trump is making America sicker and hungrier by making it harder to buy healthy food.,-1,0.0
22,Trump’s 'MAHA' movement is making America hungrier and sicker.,-1,0.0
24,New York lawmakers should sign the Predatory Marketing Prevention Act into law to protect kids’ health.,107,0.8925948964353692
25,You should try MoonBitez Sleep Gummies for better sleep.,29,1.0
26,"Upgrading to The Steel Board™ ensures safer, healthier meals compared to toxic and bacteria-prone cutting boards.",30,0.4487541824118305
28,The Supreme Court should not bring back conversion therapy because it is harmful and has been proven to hurt people.,124,0.8902013954112262
29,RFK Jr.’s embrace of junk science is bad for families like mine dealing with autism.,132,1.0
30,"You should try NOBS Toothpaste as a science-backed, fluoride-free alternative for strengthening enamel, whitening teeth, and fighting plaque with clean ingredients.",29,0.4925458143372161
32,Sheldon Whitehouse appears to be actively considering voting for something that goes against much of what he has stood for throughout his career.,117,1.0
33,Health and Human Services deserves a leader who believes in science.,-1,0.0
34,Michigan's legal system is problematic and could lead to a surge in lawsuits and increased costs for small businesses.,-1,0.0
35,"King County, Washington, should have fairer legal practices.",-1,0.0
36,"Government regulations should be informed by sound science, not wish lists from activist groups and insiders.",-1,0.0
37,She left her dream job to chase God's purpose for her life.,-1,0.0
44,"Your voice can shape local solutions for cleaner, healthier air for everyone in your community.",50,1.0
45,Using a commercial car wash helps protect local creeks and the Bay.,45,1.0
47,"Climate change could cause more sewage pollution for rivers, lakes, and beaches.",-1,0.0
48,Registering for the Love San Diego Street Sweep event will help clean up streets and protect waterways.,45,0.7253625417187721
