cid,text,stance,llm_theme_summ,llm_theme_theme,lda_topic_id,lda_topic_keywords,bert_topic_keywords,bert_topic_name,lda_topic,bert_topic,final_theme_llm_theme,final_theme_llm_summary,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
2115644195585056,"Small modular reactors are the future of nuclear energy. And they’re nothing like what you’re picturing.

Sarah Lemonick breaks down:

- Why SMRs are 3x smaller (and way safer)

- What ""walk-away safe"" actually means

- Why even tech giants are jumping into the space

If you care about clean, scalable energy: this is the tech to watch.",Pro-Climate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852880660106951,"Experience the power of the American Oil and Gas Industry. With our lowest dependence on foreign oil since the 90s and a track record of resilience through global crises, we're fueling a future of independence and stability. Join us!",Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bafyreian5zkhy77agtpyd5srwidjtx2atuf3epheju26z2jsk67u2vvxny,EPA Greenhouse-Gas Reversal Is Lee Zeldin’s $87 Trillion Mistake - Bloomberg www.bloomberg.com/opinion/arti...,Pro-Climate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bafyreiehfv7nzyfaggjxxsbnep7jjyja7tuokie7vcawf4muq6bk5x2aq4,"FALNet for real-time air pollution prediction, environmental risk assessment, and decision-making support. [5/5 of https://arxiv.org/abs/2503.24043v1]",Pro-Climate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2604264923109215,"In this episode of American Potential, new host David From sits down with Toby Rice, CEO of EQT Corporation, the largest producer of natural gas in the United States. Together, they discuss the pivotal role of natural gas in America's energy independence, the lessons learned from Europe's energy crisis, and the need to prioritize infrastructure development to meet rising energy demands. Learn how the shale revolution transformed the U.S. into a global energy powerhouse, producing over 30 million barrels of energy per day. Rice shares insights on combating myths about fossil fuels, the environmental benefits of natural gas, and the critical need to build pipelines and storage facilities to ensure affordable and reliable energy for Americans. As AI technology drives an unprecedented surge in energy demand, the conversation explores how American energy policy must evolve under the Trump administration to unleash the full potential of U.S. natural gas, strengthen global energy security, and address future challenges. Visit AmericanPotential.com for more stories about how Americans are expanding freedom and opportunity in their communities.",Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201102571669516,"Discover what Energy Secretary Chris Wright calls an ""awesome resource"" – a breakthrough drilling technology that could power America for 30,000 years without oil, gas or nuclear. 

While the government quietly auctions off prime Utah desert parcels, billionaires like Buffett, Gates, and Bezos are securing their stakes in this $3 trillion opportunity. 

Get the full report now and discover the 4 stocks positioned dominate the energy revolution.",Pro-Climate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bafyreias7dii2nlgfvyzbm5bll5qgfmmgmywtfnz2a3kczr5xekhx7axsm,"🇺🇸🌍 U.S. Threatens to Exit IEA, Citing ‘Green-Biased’ Forecasts That Undermine Fossil Fuel Investment Decisions",Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bafyreiabkpzzvu7nwotzbnoos6rgyi46exwocu4pnvpb2w7ekmmkdc5xsa,"Rolling back these protections means more carbon and methane pollution—and a major setback for U.S. climate goals. We need stronger climate rules, not weaker ones.",Pro-Climate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bafyreid6gbed3ajriupidqsbcpsiivetk4mw7udqbfguwgpe57hwlij4ri,"End an 80% done project that will provide jobs and energy with much less pollution 
 This Administration doesn't care about the economy. Just it's own old lies.",Pro-Climate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bafyreihndfdir2ag6zafp4oevfdqxitv2u2mn2qtegvavfqey3qrpuzy4i,"Arguably even more so, given that nuclear works very well without a fossil fuel backup. Unless there is a technological breakthrough, intermittent renewable generation is just a transitory tech on the way to a fully decarbonized grid/economy.",Pro-Climate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642542948700824,"💰 EARN 6-10% MONTHLY RETURNS – HANDS-FREE!💰 The Permian Basin is fueling America’s energy future, and now YOU can claim your stake! With horizontal drilling, production is 5-6x higher with 90% less risk than traditional wells! 🔥 Why Investors Are Rushing In: ✅ 20-25 Years of Passive Income ✅ High-Yield Returns – 6-10% Monthly! ✅ Major Tax Advantages – Up to 90% Write-Offs in Year 1! ✅ 85% of U.S. Oil Comes from the Permian Basin 🚀 Start drilling by June – Don’t miss your shot at oil wealth! 📩 Click below to secure your stake today!",Pro-Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
