segment,cluster_id,cluster_claim,num_texts,error,model_used
Pro-Energy,Pro-Energy_0,"Coal energy is an outdated, harmful, and economically unviable source of power that should be replaced with renewable alternatives.",5,,mistral-large-2407
Pro-Energy,Pro-Energy_14,Federal subsidies for renewable energy should be eliminated to prioritize the oil and natural gas industry.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_16,The only viable energy source capable of sustaining AI’s exponential growth is nuclear power.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_17,"Nuclear energy is the best solution for clean, safe, and reliable power.",5,,mistral-large-2407
Pro-Energy,Pro-Energy_18,Virginia must prioritize renewable energy and energy efficiency over expanding fossil fuel infrastructure to meet data center demand.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_19,The Trump administration systematically undermined the EPA’s ability to protect public health and the environment.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_20,Big oil corporations prioritize profit over environmental and public health by deceiving the public and obstructing climate action.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_21,"Allowing oil and gas drilling in the Arctic will irreparably harm ecosystems, accelerate climate change, and prioritize corporate profits over environmental preservation.",5,,mistral-large-2407
Pro-Energy,Pro-Energy_22,The federal government should prioritize environmental protections and public lands over corporate exploitation and fossil fuel extraction.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_23,Expanding nuclear energy in the U.S.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_24,"The Trump administration’s expansion of offshore oil drilling illegally endangers public health, coastal economies, and marine ecosystems.",5,,mistral-large-2407
Pro-Energy,Pro-Energy_25,"Industrial exploitation of ocean resources poses unacceptable risks to ecosystems, coastal communities, and global climate stability.",5,,mistral-large-2407
Pro-Energy,Pro-Energy_28,"Federal energy tax credits for clean energy reduce household costs, create jobs, and drive economic growth.",5,,mistral-large-2407
Pro-Energy,Pro-Energy_29,Current energy policies unfairly increase costs for consumers while undermining clean energy progress.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_3,Wyoming should prioritize and aggressively defend its traditional energy industries while expanding nuclear energy to secure economic stability and national energy leadership.,5,,mistral-large-2407
