cluster_id,topk_rank,cid,cluster_prob,text
Pro-Energy_14,1,512204047818848,1.0,"In this episode of American Potential, Jeff Crank speaks with Kent Kaiser, a representative of the Domestic Policy Caucus and founder of NoFuelBan.com, about Minnesota’s controversial push for clean fuel standards and the far-reaching consequences it could have on everyday Americans. From skyrocketing fuel prices to devastating rural economies, Kent exposes the harmful impacts of government overreach in Minnesota and other states considering similar policies. Hear how a broad coalition of stakeholders—from truckers to corn growers—rallied to fight back against legislation that would force families and small businesses to pay more for fuel and vehicles while delivering negligible environmental benefits. This is a fight for freedom of choice and economic survival, as Kent and Jeff discuss the arrogance of policymakers who fail to understand the realities faced by everyday Americans. If you’re tired of government elites imposing costly, impractical policies on hardworking citizens, this episode will arm you with the knowledge and inspiration to stand up for liberty and common sense."
Pro-Energy_14,2,686522537654029,1.0,"In this episode of Main Street Matters, Elaine Parker and Karen Harned discuss the impact of deregulation on small businesses, particularly during the Trump administration. They explore the burdens of regulations, the implications of the Chevron case, the student loan crisis, and the effects of new regulations under the Biden administration. The conversation highlights the role of the regulatory state and its influence on small businesses, emphasizing the need for transparency and accountability in regulatory processes. Chapters 00:00 Introduction to Deregulation and Its Impact 02:51 The Trump Administration's Deregulatory Agenda 06:11 Understanding Regulatory Burdens on Small Biz 09:02 The Chevron Case and Its Implications 11:54 The Student Loan Crisis 15:01 The Impact of New Regulations Under Biden 17:49 The Role of DOGE 21:06 The Regulatory State as the Fourth Branch of Government #deregulation #smallbusiness #Trump #regulations #ChevronCase #studentloans #Biden #regulatorystate #economicimpact LIKE, SHARE, SUBSCRIBE | https://www.youtube.com/@JobCreatorsNetwork"
Pro-Energy_14,3,1092324926013640,1.0,"In this episode of American Potential, host David From sits down with Congressman August Pfluger—Chairman of the Republican Study Committee, decorated Air Force veteran, and proud seventh-generation Texan—for an in-depth conversation on the path forward for America's economy, energy independence, and national security. Congressman Pfluger discusses why predictability in the tax code is essential for families, entrepreneurs, and innovators alike. As the 2017 Tax Cuts and Jobs Act faces expiration, Pfluger makes the case for why extending—and ideally making permanent—those provisions is not just a matter of policy, but a critical step to preserve America's competitive edge and avoid economic backsliding. He also shares how the Republican Study Committee, now the largest conservative caucus in Congress with 189 members, is working to restore fiscal discipline, protect family-owned farms from devastating inheritance taxes, and ensure American businesses have the confidence to invest and grow. The conversation dives into the real-world impact of smart tax policy, using examples like a small business in rural Ohio that was able to give employees a 40% raise thanks to the Trump tax cuts.  …"
Pro-Energy_14,4,1141076797630158,1.0,"In this impactful episode of American Potential, guest host Aaron Flint welcomes Matt Keenan, Federal Affairs Liaison for Americans for Prosperity, to tackle some of the most pressing issues facing America’s energy sector today. They delve into the Biden administration’s controversial decisions, including the cancellation of the Keystone XL Pipeline and the push for restrictive energy regulations that are driving up costs for families, killing jobs, and threatening America’s energy independence. Matt breaks down how these policies disproportionately harm rural communities and leave the country vulnerable to foreign energy reliance, all while adding red tape that stifles innovation and economic growth. The conversation highlights the critical role of the REINS Act—a proposed reform that would bring accountability back to federal agencies by requiring Congressional approval for major regulations. This episode isn’t just about identifying the problems—it’s about empowering Americans with actionable solutions. Tune in to learn how grassroots efforts can drive real policy change and secure a more prosperous future for all. Whether you're passionate about energy, economic opportunity, or …"
Pro-Energy_14,5,515490457639498,1.0,"In this episode of American Potential, host Jeff Crank talks with Matt Curran, grassroots program manager for education and training at Americans for Prosperity, about the upcoming 2027 regulations for light-duty and medium-duty vehicles. Curran discusses the significant impact these regulations will have on both the automotive industry and everyday consumers. With rising concerns over inflation and economic uncertainty, Curran breaks down how these changes will influence the cost of vehicles, fuel efficiency standards, and the broader implications for American families. As the federal government continues to push forward with these new regulations, Curran highlights the importance of staying informed and involved in the legislative process. This episode provides critical insights into how these regulations could reshape the automotive landscape and what it means for you. Tune in to understand the challenges ahead and how we can work together to ensure that American innovation and consumer choice remain at the forefront."
Pro-Energy_19,1,1884807392288660,1.0,"China is racing ahead on infrastructure. Are we keeping up? Investing in high-class transmission means energy security, economic growth, and American dominance in the 21st century. Join us to help keep America on top."
Pro-Energy_19,2,bafyreiccaonc5or5kgyvcmgfdaoalkahcn6bbimqqq6nkvdogvvkjyqaqq,1.0,"There are two divergent energy paths— one leading to the future, the other to the past. China’s electricity demand is up five per cent, which it absorbed with added solar and wind capacity. In the US, regime policy is to freeze out renewables and rely on coal."
Pro-Energy_19,3,bafyreibv4qe43svx6szxxwafoxzjavbd35egdy2kflbns6ydkxjtq76yey,1.0,"Jeffrey Sachs: “Basically, the Trump administration is a gift to China, with Trump’s policies saying to China, “China should lead the way on climate safety, low-carbon energy, electric vehicles and all of the green and digital technologies that the world needs, while the US will ignore the future."""
Pro-Energy_19,4,bafyreibgd75m35sbyg5xz6s47tykesppywmkvopolkpyxkfyqx7xsv3iv4,1.0,"China is drilling and counting the days: Bye-bye, US dominance. The US fall will be spectacular."
Pro-Energy_19,5,bafyreie63yebqxxnygkgemq6q4d6767vnbkostug2ntiiehwrqfj4fwerm,1.0,The USA is heading backwards in green energy while China seems to be heading in right direction.
Pro-Energy_24,1,1364843038130391,1.0,"Renewable energy projects help fund schools, roads, and EMS --without raising taxes. Sign our letter to support lower property taxes."
Pro-Energy_24,2,546034841861446,1.0,"#RenewableEnergy projects pay $44 million annually in property, state, and local taxes to over 2/3rds of Minnesota’s counties, supporting local infrastructure and keeping a lid on property taxes. Learn more at https://myrenewableresource.org/"
Pro-Energy_24,3,1777787769793645,1.0,"""Economic development, benefits, property taxes, jobs. It can be a real spur for mostly rural communities to see tremendous economic development."" According to the article, clean energy projects have already invested $9 billion in Indiana for and have paid nearly $27 million in local and state taxes. The industry has also employed about 12,000 workers."
Pro-Energy_24,4,1120292983441356,1.0,"Wind energy projects like Prairie Wolf Wind will pay millions in taxes to our county fund schools, roads and emergency services."
Pro-Energy_24,5,621447447265755,1.0,"Hoosier communities are benefiting from unleashing America’s energy dominance: “So that tax revenue’s coming in, and it’s helping everyone in the community: the local townships, the fire and safety, the libraries, the schools, and the local units.” - Steve B., White County, IN Commissioner"
Pro-Energy_30,1,629658732848549,1.0,"What a story! Education and Industry working together in Carlsbad High School's Energy Pathway curriculum, to build tomorrow's oil and gas workforce in New Mexico! We're so proud of teachers like Hannah VanScotter and her industry partners as they prepare students for the amazing opportunities ahead in New Mexico's oil and gas industry. - - #nmoga #education #STEM #AmericanEnergy #NewMexico #permianbasin"
Pro-Energy_30,2,2081014502718102,1.0,"Colorado’s students and teachers are getting a major boost from oil and gas leasing revenue. In FY 2024 alone, $182 million went directly to support local schools, educators, and classrooms across the state—helping fund the future of our communities. When energy works, education wins. 🔎 Learn how energy supports Colorado"
Pro-Energy_30,3,1139764584762812,1.0,"Gas and oil are essential industries for Ohioans, and understanding how natural energy works in our daily lives can help young people connect with important resources and career opportunities."
Pro-Energy_30,4,1436957644241297,1.0,"$4.8 billion for our schools, roads, and communities. Oil and gas — working for North Dakota."
Pro-Energy_30,5,793763143099610,1.0,North Dakota oil and gas: Funding our classrooms. Powering opportunities for every student.
Pro-Energy_31,1,28187496754229319,1.0,The fossil fuel industry pumped tens of millions of dollars into Trump’s successful reelection bid — and it could begin seeing a return on its investment on his very first day in office.
Pro-Energy_31,2,934230011963878,1.0,"⚡Flash Match ⚡ For a limited time only, every dollar you give goes twice as far. Double your impact to stop Trump’s fossil fuel plans."
Pro-Energy_31,3,7880701478653531,1.0,❗URGENT❗Extremist MAGA Trump allies in Congress are trying to push their dirty fossil fuel agenda with massive giveaways to the oil and gas industry—AGAIN! We've stopped them before and we MUST stop them now. Act now >>
Pro-Energy_31,4,1463261394374548,1.0,"During this week’s presidential debate in Philadelphia, the former president reiterated his support for fossil fuels and skepticism about renewables and launched a scathing attack on Harris’s energy policies. As one industry leader put it, “There is a very good chance that he’ll try to just kill the industry and try to shut things down and maybe even revoke permits.”"
Pro-Energy_31,5,bafyreiaznmzsqr42jizqonbmsf3hbyhjbsi3ngndqyaivl3jpvaiq7ooa4,1.0,"HOW OBVIOUS IS IT that he's made a deal with the devils' that are the Fossil Fuel industry?? Which, BTW is profiteering, corruption, abuse of authority, and violations against campaign laws!!"
Pro-Energy_33,1,1100196598394955,1.0,"Follower spotlight 🌟 Kay Y. stands with farmers who lease land for wind and solar to give them a dependable income that stabilizes the natural ups and downs of agriculture. Thanks for supporting property rights and long-term predictability for farming families, Kay!"
Pro-Energy_33,2,700033473062553,1.0,"Farmers, like Frank, want to keep the farm in the family. They’re turning to energy solutions like solar. It’s abundant and truly renewable! Let’s support solar and energy policies that bring down costs for all.,Farmers, like Frank, want to keep the farm in the family. They’re turning to energy solutions like solar. It’s abundant and truly renewable! Let’s support solar and energy policies that bring down costs for all.,Farmers, like Frank, want to keep the farm in the family. They’re turning to energy solutions like solar. It’s abundant and truly renewable! Let’s support solar and energy policies that bring down costs for all.,Farmers, like Frank, want to keep the farm in the family. They’re turning to energy solutions like solar. It’s abundant and truly renewable! Let’s support solar and energy policies that bring down costs for all."
Pro-Energy_33,3,741892058480253,1.0,"Charlie Chapman knows that for many farmers, renewable energy is about providing for their families and strengthening their communities. See why Charlie supports farmers who wish to host wind and solar energy: “Many farmers who have signed on to these leases have done their homework on the issue and are educated on the benefits and the overall opportunity costs. They have decided that this is what is best for them and their families, and I support their decision. Personally, I see this Renewable Energy project as Economic Development; it's a once-in-a-lifetime opportunity for counties like ours. It could bring millions of dollars into our local business and especially to our school, which could really use the money right now.” -Charlie Chapman, Indiana Landowner."
Pro-Energy_33,4,773118568388246,1.0,"Landowners should decide how their land is used, no one else. Leasing land for renewable energy provides steady income while preserving farmland and supporting our agricultural heritage. Sign the petition to stand up for land rights and local farmers."
Pro-Energy_33,5,604231235615365,1.0,"It’s not uncommon to wonder about the impact of solar energy development on farmland preservation. 🌾 Luckily, the U.S. Department of Agriculture and U.S. Department of Energy have teamed up to set the record straight. According to the FAQ from the USDA and DOE, estimates for renewables’ 2035 land requirements are on par with the amount of land already used for coal mining. Plus, it’s less than the acreage used today for railroads or ethanol production. Learn more facts about farmland and solar: bit.ly/3EqAdhs"
Pro-Energy_34,1,1380100173234851,1.0,“Continuing to support an ‘all-of-the-above’ approach to energy that includes clean and renewable energy resources is critical to strengthening our economy while reducing America’s reliance on foreign sources of energy.”
