cluster_id,topk_rank,cid,cluster_prob,text
-1,1,1327816768967788,0.0,"Gavin Newsom is reversing course on the oil industry just like he did with Diablo power plant. It all has to do with avoiding calamity while running for President! Of Tar Balls, Blind Poodles, and our Feckless Governor! Do you remember when environmentalists wanted to “green” the planet? We even called them greenies. Well, there is only one way to green the planet and that is by increased CO2 levels in the atmosphere. Imagine the contortions the movement went through when they came to the realization that, besides the most significant amounts of organic CO2 being produced from natural sources, that their arch enemy, the oil industry, was also a source by way of combustible fuels. Well, suddenly, increased CO2 was a no-no, and we never heard them express the goal of greening the planet ever again. By the way, the planet is greener than it has been in centuries! Well, that contortion was nothing compared to the about-face Gavin Newsom just did. After making the oil industry public enemy #1, president-elect Gavin is now becoming a pragmatist in that he realizes that, as reported by Cal Matters, “ We are all the beneficiaries of oil and gas. No one’s naive about that,” Newsom said at a …"
-1,2,631892089335263,0.0,"""Rhode Island Democrat Sheldon Whitehouse, while not 'confirmed as voting for Kennedy' nevertheless 'appears to be actively considering it.'"" via @newrepublic This goes against much of what the senator has stood for throughout his career. #momsactnow"
-1,3,1775705352999808,0.0,"Government regulations should be informed by sound science, not wish lists from activist groups and insiders."
-1,4,3937701839832832,0.0,"King County, Washington, makes its debut on the Judicial Hellholes® list at No. 9 due to courts that engage in controversial practices like law shopping and allowing junk science evidence. This results in nuclear verdicts® that inflate costs and stifle economic prosperity. Washington state residents pay nearly $2,290 annually in 'tort tax,' and over 163,000 jobs are lost each year due to excessive tort costs. Stand with CALA to demand fairer legal practices for all."
-1,5,786563027141102,0.0,"Governor Newsom is moving forward with his plan to phase out gas-powered vehicles by 2035, despite it not being approved by voters. He and Attorney General Rob Bonta are also preparing a lawsuit against the federal government to defend California’s emissions rules, raising concerns about state overreach and the push to force drivers out of their cars - since majority of Californians drive gas powered vehicles."
Pro-Energy_0,1,986979506567364,1.0,"Virginia ranks 1st in the county for producing an estimated 199.1 tons of CO2-eq MWh. That's over 1/7 of the total US data center emissions. Initiatives to be able to keep up with the energy demand should include a shift toward renewable energy sources, improving the energy efficiency of facilities, and/or investing in carbon credits."
Pro-Energy_0,2,1311577303740523,1.0,Virginia's Annual Cost from a Democrat-Supported Carbon Tax Reaches $500 Million Per Year. Full Story Below. https://www.thomasjeffersoninst.org/cost-of-democrat-supported-carbon-tax-reaches-500-million-per-year/
Pro-Energy_0,3,1115172800497290,1.0,"Learn about Virginia's reliable, affordable and clean energy future at energy.virginia.gov."
Pro-Energy_0,4,896631595892570,1.0,Virginia’s position in energy planning could be described as being between a rock and a hard place. How do we keep up with energy demands if we do not use sustainable energy?
Pro-Energy_0,5,653487867196439,1.0,"With electricity demand soaring—driven in large part by the rapid expansion of data centers—Virginia is facing a mounting energy crisis that is putting the state’s future at risk. The Thomas Jefferson Institute for Public Policy, a respected free-market think tank, has long cautioned that the Virginia Clean Economy Act (VCEA)—pushed through in 2020 by Democrats—would lead to “more shortages and skyrocketing costs.” Its latest study, Vision for Virginia 2025: Energy Policy, has proven those warnings true."
