cluster_id,topk_rank,cid,cluster_prob,text
-1,1,1920055175232030,0.0,"In the video, a Senator exposed $32M in greed. Now you can expose your true rate too 👇"
-1,2,1077871903789967,0.0,THIS RFK Jr shocker is so outrageous… it could get him impeached Click now to see what RFK Jr is inspiring.
-1,3,1346026756486301,0.0,"Are you fed up with politicians claiming to make America healthier when they’re only making things worse? Us too. While the Trump administration cuts $1 billion in funding for food banks and school meals, CSPI is fighting to actually make healthy foods accessible to everyone—no matter how much money they make. Sign the petition now if you agree that Trump’s “MAHA” movement is only making America hungrier and sicker."
-1,4,610855988484263,0.0,"🦷 Ditch the harsh chemicals and messy tubes! Try a science-backed, fluoride-free toothpaste alternative that strengthens enamel, whitens teeth, and fights plaque – all with clean, effective ingredients. ✅ 💡 Why Choose NOBS? ✨ Remineralizes & strengthens enamel with 5% nano-hydroxyapatite 🦷 Whitens teeth naturally without harsh abrasives 🚫 No fluoride, sulfates, or artificial junk – just clean ingredients 🌍 Eco-friendly & plastic-free packaging ✈️ Perfect for travel – no spills, no mess ""I love how fresh and clean my mouth feels! My sensitivity is gone, and my teeth have never looked better. I’ll never go back to regular toothpaste!"" – Sarah T. 👉 Give your smile the best. Try NOBS Toothpaste today with fast shipping and a 100% satisfaction guarantee! 🔗 vt-ly.com/pages/nobs-toothpaste"
-1,5,1288816805574499,0.0,"She left her dream job to chase God`s purpose for her life. My interview with Jenna Hylton. After years of education and a career as a nurse and teacher, God told her it`s time to go home to her family."
Neutral_0,1,1021635135679557,1.0,Fracking for gas can turn any community into a dangerous wasteland over time. Why do corporations let this happen? 😡
Neutral_0,2,bafyreibshk3s6p4yzmr2oc7wfmcxlvn5lc3cgbj6i2nhds4lr5vtag77xe,1.0,"But, you know, let's not even consider ending fracking."
Neutral_0,3,bafyreifxmq2367oypeohluud7rdlszcknzj55nudwhq2fhnflvo2gesizu,1.0,We are so fracking doomed! www.thedailybeast.com//rfk-jr-it-w...
Neutral_0,4,bafyreidqndzsqlmqh3hkrredmgw6qptfwnyku2ow2mfugrlj3darc2c2be,1.0,"Disclosing all of its fracking fluid ingredients that are not trade secrets"" But there is no definition of what constitutes a trade secret! Loophole or what?"
Neutral_0,5,bafyreia4lfljv2ccw5mqwzxvlvhndmmbfst6vcz2pxg6jhhljv3zaizi4a,1.0,there was a minor earthquake that morning and i was thinking about how fracking makes earthquakes more frequent lol
Neutral_1,1,988044783528116,1.0,"Mining in Minnesota is more than tradition—it’s a cutting-edge STEM career that shapes the future. While the work often happens behind the scenes, the results are all around us in the products we use every day. Take a closer look at the innovation driving iron mining with insights from Mike Bakk, Director of Operational Readiness at U.S. Steel’s Keetac mine."
Neutral_1,2,972426188368916,1.0,"A ""Coal Comeback"" sounds like a horror movie title - let's hope it is not reality!"
