row_index,claim,cluster_id,membership_prob
0,Americans are not in a position to advise Canada on managing their country.,-1,0.0
1,The Trump administration has drafted a plan to repeal a fundamental scientific finding that gives the United States government its authority to regulate greenhouse-gas emissions and fight climate change.,-1,0.0
2,Our leaders are ignoring climate change.,-1,0.0
3,Both Norwegian far-right climate denial and Norwegian centrist climate delay work to keep the Norwegian oil industry going.,-1,0.0
4,Companies prioritize massive profits over slowing down climate change.,-1,0.0
5,Just because something is renewable doesn't mean it's sustainable.,50,1.0
6,"We were creating jobs, leading change and reducing emissions with the Inflation Reduction Act.",-1,0.0
8,"Trumpâs/MAGAGOP's tax bill will cost 830,000 jobs and drive up bills and pollution emissions.",-1,0.0
9,"Steve Reed, Mary Creagh and DEFRA need to implement Schedule 17 of the Environment Act.",32,0.6783855687711521
10,"I have no sympathy for FL, LA, and NC because they have denied climate change and sabotaged efforts to slow the change.",92,1.0
11,My supervisor said she got more work out of us working from home than in the office.,113,0.8276306652819251
12,5 IM attendings to run a 100+ bed department 24/7 is not close to long term sustainable.,84,0.8192985619399827
14,You were incorrect when you said that insurance companies never have your back.,12,1.0
16,"The US is not actually 'hot' in a positive sense, but is experiencing high temperatures due to climate change.",91,1.0
17,Oil subsidies skew markets and stifle clean energy.,-1,0.0
22,"Betrayal, chaos and cruelty are the cornerstones of the wealthy top 1%.",103,0.7755709328690764
23,DeSatan might want to arrest you if you use the term climate change.,100,1.0
24,The account is either a reply bot or a person who is deeply unwell.,116,1.0
26,Native plants help mitigate the effects of climate change.,-1,0.0
29,Nonprofits and philanthropy help create infrastructure to bring nearly $1 billion in clean energy funding to Pennsylvania.,-1,0.0
32,This is happening without any real federal or state scrutiny.,-1,0.0
33,AES will support Meta's data centre growth with renewable energy.,-1,0.0
34,Oil exploration and drilling was a severe threat to the small business tourism and commercial fishing economy of the state and the entire East Coast.,25,1.0
35,Transitioning away from fossil fuels will yield a healthier humanity.,-1,0.0
37,Children are expected to get nothing anymore.,66,0.37291833126127094
38,"Farageâs plan to boost the profits of fossil fuel companies would destroy investment in the cheap, green renewable energy that Scotland needs.",-1,0.0
39,This shit posting has to stop and stop now.,116,1.0
40,I could not care less about the rest of the story because 'global warming' is in quotes.,35,1.0
42,People who can't read are likely scientifically illiterate and susceptible to misinformation and conspiracy theories.,66,0.38426028978566273
44,Trumpâs attempts to revive the coal industry will likely fail.,34,1.0
46,The USA giving up its energy resources will not change the Earth's climate.,-1,0.0
47,"Farty Seven was planning on fracking and selling natural gas back to Canadians, but it backfired.",4,0.4389883000017172
48,Elon Musk could pay for the entire UK to reach net 0 carbon emissions and still be on equal terms with Bezos in terms of cash.,47,1.0
49,The rich are intentionally accelerating the death of many people to reduce competition for food.,103,0.7755709328690764
50,These topics led students to question the correctional system and view its practices and purpose more critically.,-1,0.0
51,Climate change will supercharge West Coast storms.,91,1.0
52,It's a smart move to investigate this option.,116,1.0
53,"The Transition Initiative aims to transition critical HIV and SRHR services from donor support to sustainable, government-led programmes.",-1,0.0
54,"Matee solved two problems with the same solution: making sustainable, durable materials and solving plastic waste issues.",26,0.3964518734327334
55,Ignorance is costing us too much strategy.,-1,0.0
56,Our vibrant community groups are at the heart of our work to tackle climate change and fuel poverty locally.,99,0.8680075634677159
57,Fossil fuel industries will go to great lengths to protect their profits.,43,0.9127089871144196
58,It costs more for home insurance in places disproportionately affected by climate change and increased weather severity.,13,0.2795504406576158
59,Alien A.I would want humanity to ignore climate change and spread A.I off Earth as soon as possible at all costs using its code.,-1,0.0
60,Green tech that is proven is better and usually cheaper than speculative technology.,40,1.0
61,It is not true that there is nothing we can do about climate change and wildfires.,97,0.5110173071725087
62,The Site C development is necessary to support sustainable growth in BC.,86,0.8867762612147777
63,"This book is essential reading as we face crises of climate change, injustice, and inequality and try to establish a post-Covid 'new normal'.",99,1.0
64,Stop giving air time to climate change deniers.,99,1.0
66,James Wood losing his house to climate change is going to see me through the Q1 of 2025.,111,1.0
67,Trump will deregulate anything climate change related in 2025.,110,1.0
70,Frump doesnât care what happens to his or our grand kids or great grand kids when climate change becomes much worse.,-1,0.0
71,"We must work together to build a fairer, healthier, more equal society; put more money into people's pockets; tax the multinationals, and act on climate change; and improve voter engagement.",-1,0.0
72,There won't be many future generations if climate change isn't properly addressed this decade.,99,1.0
73,You should join me in signing the petition to reject Australia's biggest fossil fuel project.,42,0.7899936048545978
74,There are people who deny the existence of climate change despite all the evidence.,102,0.9180075012583839
75,It's maddening that workers in the O&G industry are not being given the opportunity to use their practical and academic skills to elevate sustainable energy and industry projects.,-1,0.0
76,Bluesky is causing climate change.,-1,0.0
77,Fossil fuel funding in Europe is insane.,43,1.0
78,Fracked shale gas is poisoning Pennsylvania.,4,0.4389883000017172
80,Black Sea Cable will boost EU energy security with clean power.,50,0.8672629490393059
81,Something that directly impacts Newfoundland's way of life is on the verge of collapse due to fossil fuel induced climate change.,-1,0.0
83,There is no climate change.,97,1.0
84,Using potable water in heat exchange systems reduces the amount available for human consumption.,17,0.7728879979632124
86,"People who need to be convinced about climate change are not persuaded by facts or morality, but by emotions and selfishness.",105,1.0
87,Too many governments are failing to address the climate change problem properly.,94,1.0
88,Americans donât do climate change.,94,0.9526160280185292
89,Clothes swops should be much more common.,-1,0.0
91,The Colorado River is making a remarkable comeback.,-1,0.0
92,Cartoon Network would send you a coupon for drilling holes in the bowling ball at a discount if you were part of their bowling club.,-1,0.0
93,Regular solar panel maintenance ensures maximum efficiency and long-term performance.,48,1.0
94,Electric cars produce far less brake dust pollution than combustion-engine cars.,6,0.39806519662918544
95,BLM employees have been fired because they are protectors and observers of our lands.,-1,0.0
96,Deforestation has been slashed by 55 per cent in Afro-descendant lands.,61,0.5034651898152543
97,Our policy is driven by donors and corruption rather than optimized outcomes or markets.,-1,0.0
98,These 15 states face rolling blackouts as clean energy can't keep up with demand.,56,0.7705125392325023
99,Scottish bird species are being affected by climate change.,54,1.0
100,The incoming administration is set to gut environmental protection and hand control over environmental issues to the oil and gas industry.,-1,0.0
101,"If Republicans ignore climate change, it will go away, but if they acknowledge its existence, it will attack them.",67,1.0
103,Newly passed CA housing reforms highlight deep systemic failure.,79,1.0
104,We're not doing enough for climate change.,99,0.8111988053644323
105,Aquaculture is an ecological and social disaster unless done right.,60,0.9517997919712294
106,Wind turbines can help power oil drilling operations.,50,0.8031349650095236
107,Global warming and AI will raise your electric bill by more than 30%.,0,0.7131889652261133
