cluster_id,topk_rank,cid,cluster_prob,text
-1,1,1049610627227298,0.0,Have you seen THIS shocking RFK Jr story? The corrupt mainstream media won’t dare breathe a word about it… Yet this controversy is harming the brains of millions of Americans aged 65+…
-1,2,1703805640575434,0.0,"ORCA’s shoreline and habitat restoration efforts bring together staff, volunteers, and community members to protect and revitalize our coastal ecosystems. By using natural solutions such as native plantings and oyster reef structures, we can stabilize shorelines, reduce pollution, and support a healthier Indian River Lagoon."
-1,3,797932859280503,0.0,"☀️ Summer smog? No thanks. E-bikes are a fun, clean way to cut down on air pollution and protect your health. When temps rise, so does ozone pollution. Ditch the car and ride electric."
-1,4,1550064666159170,0.0,"Governor Newsom: Real Environmental Policy Starts at Home. VETO SB 404. SB 404 would destroy small, family-run recyclers in California—businesses that conserve, reuse, and reduce waste. Instead, this bill encourages reliance on mining virgin ore in developing countries, increasing global pollution and human rights risks. If California is serious about environmental justice and sustainability, we must support domestic recycling—not bury it in red tape. 🛑 Tell Newsom: Conservation beats extraction. ✍ Tell Governor Newsom to stop SB 404. 👉 https://pxl.to/standnow #VetoSB404 #EnvironmentalJustice #SustainabilityNow #ProtectLocalRecyclers #NewsomVetoSB404 #GreenNotGreed #ConservationOverMining"
-1,5,821052513824429,0.0,"❌ 🏭 End the extraction of fossil fuels and threats to frontline communities! 🔎 Today, WECAN is releasing the fifth edition of “The Gendered and Racial Impacts of the Fossil Fuel Industry in North America and Complicit Financial Institutions.” From increased cancer rates to higher risks of adverse maternal health outcomes and likelihood for depression, the report details the significant toll fossil fuel pollution and infrastructure has on women in these communities. ""We have to get back to the original reason we started this fight to stop fossil fuel expansion, and it is for people. Who are we saving this world for? If we aren't caring for the people, if we aren't making sure that the people have what they need, who's going to be left in that community to care for it? People are dying every day from fossil fuel pollution. Community members are constantly dying while folks are sitting in offices making decisions about that community. Women are at the brunt end of these deadly decisions.” Roishetta Ozane, Founder, The Vessel Project The report also investigates the role that six major financial institutions – Vanguard, BlackRock, JPMorgan Chase, Citigroup, Bank of America, and Liberty …"
Pro-Climate_0,1,534181055848808,1.0,"#SanJose, ¿tienes medicamentos no deseados o vencidos? Deshágase de sus medicamentos de forma segura en un contenedor de entrega GRATUITO cerca de usted. Tirándolos por el inodoro o en la basura pueden terminar en la Bahía dañando la vida silvestre. Visite SJEnvironment.org/Medicina para encontrar ubicaciones de contenedores y para mantener San José limpio."
Pro-Climate_0,2,1760277501466074,1.0,"A lo largo de su carrera, Kamala Harris ha luchado para proteger el medio ambiente y a las comunidades que sufren la contaminación de forma desproporcionada. Este 5 de Noviembre lucha por la justicia climática votando por Harris-Walz!"
Pro-Climate_0,3,2482522125422207,1.0,"𝐀𝐓𝐄𝐍𝐂𝐈𝐎𝐍 𝐏𝐑𝐎𝐏𝐈𝐄𝐓𝐀𝐑𝐈𝐎𝐒: ¿La señora está molesta por el recibo de la luz de $200? Nosotros también... Ahora puedes recibir hasta $9,943 del gobierno federal al cambiarte al nuevo programa solar SIN PRÉSTAMO. Mira aquí: 👉 https://www.irs.gov/credits-deductions/residential-clean-energy-credit ¡Nuevo programa SIN PRÉSTAMO! SIN DEUDA, SIN EMBARGO Nuevo programa de compra de energía Hazte dueño de tu energía Ya no pagues los aumentos de tarifa Protege a tu familia Pagos fijos y predecibles Recibe el crédito por energía limpia Haz clic abajo para ver si tu área califica — (Te toma 10 segundos) Consulta si calificas ahora."
Pro-Climate_0,4,3861754270758473,1.0,La energía solar te da independencia y ahorro a largo plazo. Empieza hoy tu camino a un hogar más sostenible.
Pro-Climate_0,5,1310847663299565,1.0,"¿Quieres aumentar tus ingresos con una cantidad EXTRA de dinero? 💸☀️ Nuestros clientes están obteniendo hasta $1,000 dólares adicionales al optar por la energía solar. 🌞 ✨ Ventajas destacadas: ✅ Recibe un cheque inicial como incentivo 💰 ✅ Aprovecha ahorros anuales de hasta $1,000 🔋 ✅ Sin necesidad de enganche ni pagos iniciales 🚫 ⚡ Protege tu bolsillo contra la inflación. Descubre si cumples los requisitos para este programa haciendo clic en el enlace. ¡Es rápido y sin costo! 👇"
