cid,text,Stance,llm_theme_summ,llm_theme_theme,lda_topic_id,lda_topic_keywords,bert_topic_keywords,bert_topic_name,lda_topic,bert_topic,final_theme_llm_theme,final_theme_llm_summary,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
bafyreidcaxtysbsgtgaekgxkbu57rbof2gcnmm6zau2r4fi2xcy4luv5hi,"an item in latest New Scientist....for anyone, like myself, who lives in the Southern Hemisphere, the Milky Way is visible to greatest advantage at this time of year.
Even better if you can view it from well away from the luminescence of city light pollution   ...it is stunningly beautiful",Neutral,Starry night preservation,Starry night preservation,57,"see, ca, find, old, light","light pollution, light, stars, night, sky, moon, lights, astronomy, lightpollution, telescope",43_light pollution_light_stars_night,,,,,,,,,,,,,,,,,,,,,,
bafyreidtfx74zix4p6p7cqdmn62jbbp4sqwo6skc5qhaegsp3ruwvejgpu,"...yes, maybe AI hallucinations, welcomed by (i) authors, (ii) reviewers & (iii) editors who don't care, if they turn science into junk, as long as it helps to increase their (i) no. of paper, (ii) citations & (iii) profit margins",Neutral,Science under attack,Science under attack,20,"health, care, anything, social, increase","junk, junk science, rfk, science, rfk jr, jr, debunked, does harm, abortion, drug",45_junk_junk science_rfk_science,,,,,,,,,,,,,,,,,,,,,,
bafyreihtry46lfcpzk2shdh4ojxvtfhpigdewjinhmpm7wct5qnsttuu4a,My bears coming over and I'm struggling to find the energy to clean my room 😭,Neutral,Cleaning fatigue,Cleaning fatigue,99,"energy, clean, renewable, green, bill","energy clean, shower, apartment, oven, kitchen, having clean, clean room, cat, clean, cleaning",30_energy clean_shower_apartment_oven,,,,,,,,,,,,,,,,,,,,,,
bafyreifynzaeofnfmmkpqhe6eujppqrycoey77e4jy5yik3kweo4yzhyxa,"Our country and our world cannot survive four years of this madness. 

It’s not sustainable!

It’s just not!",Neutral,Fascism’s fatal flaws,MAGA Climate Deception,41,"year, day, every, time, last","sustainable sustainable, isn sustainable, implode, sustainable current, sustainable people, sustainable just, sustainable, mean sustainable, defines, don sustainable",27_sustainable sustainable_isn sustainable_implode_sustainable current,,,,,,,,,,,,,,,,,,,,,,
bafyreihvl7eypflk6pmb3a4j4pk7fqaoh6symxd2fdyra7vw7xx3hfrnca,"#QP your Fighter

Fox in The Ring
Every punch carries the weight of the wild. 🥊🦊

#Ai #CreativeAi #GPT5 #AiGenerated #SynthArt #PromptArt #GenerativeArt #AiIllustration #AiArtists #AiArtCommunity #AiCommunity

Integrating Joy, differentiating with Sprinkles.✨",Neutral,Starry night preservation,Sound's dual impact,67,"make, look, profit, sense, tool",,-1_clean energy_social_green_bsky social,,,,,,,,,,,,,,,,,,,,,,
bafyreied2mhtfbtxpkzugopt74ocudxae5nq3m4dyj4yjex3j444pkv2wu,"good morning ☀️

I have no meetings today and the smallest to-do list ever so I am going to try and soak up as much beautiful spring sun as I can and get some book club reading in and some chores done!

manifesting the best energy to you all, you're amazing and strong and this week will go well!",Neutral,Climate unease,Climate unease,1,"go, hope, thousand, dry, type","energy clean, shower, apartment, oven, kitchen, having clean, clean room, cat, clean, cleaning",30_energy clean_shower_apartment_oven,,,,,,,,,,,,,,,,,,,,,,
bafyreibvubtrsuoddgv6ilahpqlormx767m63dbh4lyky32uym4w6wdlby,"Not too many companies are going to spend the money to set up operations to appease the whims of a moron. That's ridiculous even to think that. 
None of Trump's uninformed actions are sustainable in the long term.",Neutral,Fossil fuel corruption,MAGA Climate Deception,58,"get, epa, gop, remember, corporation",,-1_clean energy_social_green_bsky social,,,,,,,,,,,,,,,,,,,,,,
bafyreiatndnl5ozjlma4rop3iguqnleym2pg4hy456fyjmcjavphlruvq4,"75' | ⚽ GOOOOOAALLLL!!! 

Zane Banton gets one back for the Saints!!! He shifts the ball onto his right foot, drilling his shot into the bottom left corner from distance!

Saints 1-3 Wood

📻 bit.ly/4enKkQF

#COMEONYOUSAINTS 😇 #SACvBOR",Neutral,Independent investigative journalism,,47,"thing, something, change, climate, actually","drilling, holes, drilling holes, drilling hole, hole, wall, dentist, drill, hammering, like drilling",9_drilling_holes_drilling holes_drilling hole,,,,,,,,,,,,,,,,,,,,,,
bafyreihdd35hqeh4ie3cmyahacaoverjfcbnhymre3rngbnxpkonsug2wy,"King Kongin Signals a Health-First Future for Energy Drinks with Natural Formulas and Clean Ingredients
rcnamericaca.blogspot.com/2025/07/king...",Neutral,Independent investigative journalism,Sound's dual impact,99,"energy, clean, renewable, green, bill",,-1_clean energy_social_green_bsky social,,,,,,,,,,,,,,,,,,,,,,
bafyreidjrvph2avalttqi5uxargxf36scdlkx2hicw54xtct75bmvuqhge,I'm in Texas BTW😂😂😂,Neutral,Climate unease,EV transition barriers,98,"around, lost, texas, south, killing","texas, tornadoes, flood, tornado, flooding, floods, new mexico, texas climate, texas flooding, warnings",54_texas_tornadoes_flood_tornado,,,,,,,,,,,,,,,,,,,,,,
bafyreiffffloxxdz5mvd54dyk343ed64azepwmgq52zjeql3kylqqtfeb4,"youtu.be/v8dKXvqyhx4?...
#deforestation #coda #newmusic
#premier",Neutral,Deforestation & Wildlife Crisis,Deforestation & Wildlife Crisis,40,"climate, yes, change, deforestation, nature","song, music, youtu, songs, playlist, dance, tunes, warming youtu, lyrics, tyndall",64_song_music_youtu_songs,,,,,,,,,,,,,,,,,,,,,,
bafyreiafucm63fxno6kyxutayjt54con446gpmsynrqejyynd6cfowetta,"""Decoding the affluent mindset: It's not just about wealth, but a strategic approach to financial freedom and sustainable growth. @ForbesInsight #AffluentMindset #FinancialWisdom"" read this: tinyurl.com/kindlyreadth...",Neutral,Science under attack,Climate justice action,54,"environmental, far, growth, economic, effort",,-1_clean energy_social_green_bsky social,,,,,,,,,,,,,,,,,,,,,,
bafyreihvh2uk67svcuuoc52m6eo2fan5dt26mjhr2oeh737j5cssme6aze,"it's OK to disagree; it's not a value judgment or an attack or anything. It helps to hear/read a cogent opposing opinion. Most of us know the current adminstration's  assessments are anecdotal manipulative junk science with ulterior motives, but valid objection should be heard.",Neutral,Science under attack,Science under attack,2,"science, protect, rich, republican, order","junk, junk science, rfk, science, rfk jr, jr, debunked, does harm, abortion, drug",45_junk_junk science_rfk_science,,,,,,,,,,,,,,,,,,,,,,
bafyreienvqjet37njfycabkgweitbwi7kwgxslp46vj5h5vxw654vh3t5a,"I never avoid replacing a screw or bolt that was too thin or too short; often, I improvise by drilling new holes where they missed.

A bookshelf required glue to assure it was firm.",Neutral,Sound's dual impact,Sound's dual impact,76,"climate, report, change, effect, canada","drilling, holes, drilling holes, drilling hole, hole, wall, dentist, drill, hammering, like drilling",9_drilling_holes_drilling holes_drilling hole,,,,,,,,,,,,,,,,,,,,,,
bafyreidevdaqgawqjuwsaws63f24x337mi6ahukhxwbjrqmqb3mjni7baa,Fracking yes! Battlestar Galactica is one of the best SYFY series. Great story based on a familiar mythology. Special effects hold up well. Great score by Bear McCreary. Stellar cast. I rewatch every couple of years.,Neutral,Sound's dual impact,Fossil Fuel Overreach,87,"problem, kind, thanks, climate, link","fracking, earthquakes, fracking waste, wastewater, pennsylvania, hydraulic, shale, earthquake, ohio, tap water",11_fracking_earthquakes_fracking waste_wastewater,,,,,,,,,,,,,,,,,,,,,,
bafyreidhgh7upxkhct72gqvirknwd4idet4nqfgavmovqpsuuc7jbxal2q,"Here's where it gets tricky.

If Giddey is making some kind of leap, he's actually doing it more so as a slasher and interior scorer, than as a shooter.

February's white-hot shooting month has ironically overshadowed an improvement that should be viewed as more sustainable (getting to the line).",Neutral,Independent investigative journalism,Sound's dual impact,47,"thing, something, change, climate, actually","club, clubs, ground story, independent ground, tech independent, story developing, manchester, player, helps tell, story reproductive",51_club_clubs_ground story_independent ground,,,,,,,,,,,,,,,,,,,,,,
bafyreierwd27ibmfmwilae6j5mr3z3z5bvocoppdxumsxgqcx4kgfpvr54,"We have had a great day with @StBartsTrust for their 2nd Evidence Exploration Partnership workshop. 

Drilling down into a range of data sources to identify a priority. 

@AspirerRS @J0GOODMAN",Neutral,Climate action collaboration,Climate rollbacks,53,"come, climate, change, pretty, politician","gold, aest, asx, asx drilling, metals, diamond, released, jul, minerals, mining",74_gold_aest_asx_asx drilling,,,,,,,,,,,,,,,,,,,,,,
bafyreihgd3kkw6j5bk7xnurqbjg5nlw5f3a7vewre7pyutlrmb7comzrci,"Well tried a quick shower to see if it would help with my pain levels, & I am sad to report it didn’t, but at least I am clean now. Now debating do I put on clean sweats or just give in and put on clean pjs. Also do I have the energy to quickly change my sheets too before the next shawl line comes.",Neutral,Cleaning fatigue,Cleaning fatigue,82,"want, climate, change, put, political","energy clean, shower, apartment, oven, kitchen, having clean, clean room, cat, clean, cleaning",30_energy clean_shower_apartment_oven,,,,,,,,,,,,,,,,,,,,,,
bafyreifciqhxj7x6cvyd7743tnc3i34xplnyqooeveux7vhrvttkt4uqhi,"1/ Let’s walk through the timeline of how Dr. Mark Geier—now discredited and stripped of his licenses—lost the right to practice medicine across the U.S.
Why? Dangerous autism “treatments” based on junk science.
Thread:",Neutral,Science under attack,Independent investigative journalism,89,"green, deal, new, matter, vote",,-1_clean energy_social_green_bsky social,,,,,,,,,,,,,,,,,,,,,,
bafyreieeyq4ya7irmkoi4ahyoupscpx5zaeoq676skawsimf7acbvdfvm4,"If anything can kill Riot, this is it. When the gambling becomes centralized, the pro circuit becomes the only thing that matters and that is never sustainable. 

Activision Blizzard ass decision",Neutral,Independent investigative journalism,Fascism’s fatal flaws,89,"green, deal, new, matter, vote",,-1_clean energy_social_green_bsky social,,,,,,,,,,,,,,,,,,,,,,
bafyreidwvzhoz6trfanx5ek2eqe26q55ldskdcdp7dotyxv3ia2btjvmsi,"I should have clarified: my mom and dad were born in the same fading coal-mining town I was. Both descended from Gaelic-speaking Highlanders who came to Canada around 1800 -  1820.

In 1951, Dad came to Detroit looking for work (largest export of Cape Breton at the time: Cape Bretoners)...",Neutral,End fossil fuels,Fossil fuel corruption,33,"car, shift, came, agenda, ending","coal mining, coal, mining, miners, slopes, eastern slopes, mining coal, mines, eastern, alberta",12_coal mining_coal_mining_miners,,,,,,,,,,,,,,,,,,,,,,
bafyreiho5ygmyh6b2pfbnvysfl47htk5snstrxklszl73zqc7qh7krpn3e,I love X-Men. I love the X-Men movies! We DO NOT NEED THIS. I’m sorry the MCU got derailed because Jonathan majors is awful but wow is nostalgia bait not the way forward for me. It is not sustainable and none of this will be compelling on screen.,Neutral,Independent investigative journalism,Climate unease,20,"health, care, anything, social, increase","movie, film, movies, chung, movie climate, mentioning climate, felt, films, mentioning, presents",83_movie_film_movies_chung,,,,,,,,,,,,,,,,,,,,,,
bafyreihodqmbjsxj7p6qmubnv6e4d32zio2i34diyoydepje5yfmlasdvy,Totally. And what usually ends up happening is the frequent sick time & absences lead to excess work for those who take precautions like masks and aren't sick. It's not sustainable,Neutral,Cleaning fatigue,Cleaning fatigue,25,"cut, already, fight, etc, infrastructure","air pollution, air, pollution, exposure, air quality, quality, pm2, airpollution, asthma, mask",1_air pollution_air_pollution_exposure,,,,,,,,,,,,,,,,,,,,,,
bafyreicmhrlrnofpzuqz6x3k3wg24cxtbzlkw5mdtgwha5uoiqqydjvoim,I haven't been particularly well in the last year and now I only have the energy to grumpy clean.,Neutral,Cleaning fatigue,Cleaning fatigue,99,"energy, clean, renewable, green, bill","energy clean, shower, apartment, oven, kitchen, having clean, clean room, cat, clean, cleaning",30_energy clean_shower_apartment_oven,,,,,,,,,,,,,,,,,,,,,,
bafyreiaawno27ufywdou4tx5lspjos4vbq2s7bka2banwmfg2pdskonq3q,"True, honestly he was borderline insufferable... I'm glad he quit the unserious bits... It eventually wasn't a good look nor sustainable. 

🫂 I'm glad to know, I'm sure you looked amazing. Its always people whose experience is the closest to you that kinda hold you to a restrictive standard.",Neutral,Cleaning fatigue,Climate unease,47,"thing, something, change, climate, actually","doesn believe, believes, donald, trump, change hoax, donald trump, doesn, thinks, believes climate, hoax",2_doesn believe_believes_donald_trump,,,,,,,,,,,,,,,,,,,,,,
bafyreihswbbinhles2d4vbev4vn4maz3iipguy72d2vdvdttbukxkiup2m,"After a lunch of chili and coffee, I have become intolerably flatulent. If you need me, I'll be lurking in the back yard, contributing to global warming in my own little way.",Neutral,EV transition barriers,Climate legal accountability,88,"global, warming, course, ice, half","coffee, chocolate, cocoa, expensive, beans, bean, plantations, fairtrade, coco, vietnam",76_coffee_chocolate_cocoa_expensive,,,,,,,,,,,,,,,,,,,,,,
bafyreihnq2gp7zjrbudahr7pvdutgawuutlqs2ysvrbvxlvnxevnjyhbwu,"📌 The #Olympism365 Summit from 3-5 June with

▪️250+ participants;
▪️from 100+ organisations;
▪️and 70+ countries.

They will discuss how to collaborate, co-invest & launch joint action to advance sustainable development through sport. 

➡️ More:  www.olympics.com/ioc/olympism...

#SportForABetterWorld",Neutral,Responsible tourism future,Climate action collaboration,7,"development, love, working, free, sustainable",,-1_clean energy_social_green_bsky social,,,,,,,,,,,,,,,,,,,,,,
bafyreihyrbebt3oo32lnty7iziikcyo54cwz4jrbeoyl7zpfik3lsadmhy,"I've been down the rabbit hole of pollution in China. It's not safe in most cities, as in it set off alarms at the US embassy. I sat 50/50 real vs propaganda. Some Chinese politicians were caught using AI.",Neutral,Science under attack,Water pollution crisis,81,"pollution, air, city, show, focus","china, chinese, taiwan, like china, bessent, xi, beijing, treasury, republic, change china",14_china_chinese_taiwan_like china,,,,,,,,,,,,,,,,,,,,,,
